,thres_lo,thres_hi,thres_lo_qa,thres_hi_qa
LightSleep_0_IDD_ANA,-0.5,0.5,-0.5,0.5
LightSleep_0_IDD_IO,0.0007,0.0054,0.00056,0.00648
LS_Wakeup_0_IDD_ANA,-0.5,0.5,-0.5,0.5
LS_Wakeup_0_IDD_IO,0.040000000,0.080000000,0.032000002,0.096000001
LightSleep_1_IDD_ANA,-0.5,0.5,-0.5,0.5
LightSleep_1_IDD_IO,0.0002,0.0024,0.0001,0.0029
LS_Wakeup_1_IDD_ANA,-0.5,0.5,-0.5,0.5
LS_Wakeup_1_IDD_IO,0.040000000,0.080000000,0.032000002,0.096000001
DeepSleep_IDD_ANA,-0.5,0.5,-0.5,0.5
DeepSleep_IDD_IO,0.000001,0.000007,0.0000008,8.4E-06
DS_WakeUp_IDD_ANA,-0.5,0.5,-0.5,0.5
DS_WakeUp_IDD_IO,0.011,0.0165,"0.0088
",0.02
