,thres_lo,thres_hi
3.3V_Chip_PD_IDD_VBAT,-0.000001,0.0001
3.3V_Chip_PD_IDD_DVDD_IO,-0.000001,0.0001
3.3V_LightSleep_IDD_VBAT,0.0001,0.00016
3.3V_LightSleep_IDD_DVDD_IO,0.0002,0.0008
3.3V_LS_WakeUp_IDD_VBAT,0.016,0.025
3.3V_LS_WakeUp_IDD_DVDD_IO,0.008,0.015
3.3V_DynamicIDD_VBAT,0.06,0.1
3.3V_DynamicIDD_DVDD_IO,0.01,0.02
3.3V_DeepSleep_IDD_VBAT,0.00001,0.000025
3.3V_DeepSleep_IDD_DVDD_IO,-0.000001,0.00007
3.3V_DS_WakeUp_IDD_VBAT,0.018,0.026
3.3V_DS_WakeUp_IDD_DVDD_IO,0.006,0.017
3.6V_Chip_PD_IDD_VBAT,0.000003,0.00027
3.6V_Chip_PD_IDD_DVDD_IO,-0.000001,0.0003
3.6V_LightSleep_IDD_VBAT,0.0001,0.00018
3.6V_LightSleep_IDD_DVDD_IO,0.0002,0.00085
3.6V_LS_WakeUp_IDD_VBAT,0.018,0.025
3.6V_LS_WakeUp_IDD_DVDD_IO,0.009,0.02
3.6V_DynamicIDD_VBAT,0.08,0.1
3.6V_DynamicIDD_DVDD_IO,0.01,0.021
3.6V_DeepSleep_IDD_VBAT,0.000012,0.00004
3.6V_DeepSleep_IDD_DVDD_IO,-0.000001,0.00027
3.6V_DS_WakeUp_IDD_VBAT,0.018,0.026
3.6V_DS_WakeUp_IDD_DVDD_IO,0.007,0.018
