address,7'b1100001,,,,
suffix,_ulp_cal,,,,
,,,,,
0,0,0,ir_resetb,w,b1
0,1,1,ir_start,w,b1
0,2,2,ir_force_xpd_ck,w,b1
0,3,3,ir_force_xpd_ref_out_buf,w,b0
0,4,4,ir_force_xpd_iph,w,b0
0,5,5,ir_force_xpd_vgate_buf,w,b0
0,6,6,ir_disable_watchdog_ck,w,b0
1,4,0,bg_i_smp_period[4:0],w,b00010
2,4,0,i_smp_period[4:0],w,b01000
3,0,0,o_done_flag,R,
3,1,1,o_udf,R,
3,2,2,o_ovf,R,
3,3,3,bg_o_done_flag,R,
3,4,4,bg_o_udf,R,
3,5,5,bg_o_ovf,R,
3,6,6,vdda_2p0_rdy,R,
4,7,0,o_code[7:0],R,
5,2,0,dbrown_out_thres[2:0],w,b000
5,3,3,ir_force_pd_ref_out_buf,w,b0
5,4,4,ir_force_pd_iph,w,b0
5,5,5,ir_force_pd_vgate_buf,w,b0
5,6,6,ir_force_code,w,b0
5,7,7,ir_xpd_vdda_det_2p0,w,b1
6,7,0,ext_code[7:0],w,b10000000
