 Address ; RegName ; Clk ; Rst ; Port ; Public ; Signal ; BitPos ; Default ; SW(R/W) ; HW(W) ; MCU(W) ; MISC ; Description 
  0x000; EFUSE_BLK0_RDATA0; clk ; reset_n ;;;; [31:28]; 4'b0; RO   ;;;;
;;;;;; rd_flash_crypt_cnt ; [27:20] ; 8'b0 ; RO ;;;;
;;;;;; rd_efuse_rd_dis ; [19:16] ; 4'b0 ; RO ;;;;
;;;;;; rd_efuse_wr_dis; [15:0] ; 16'b0 ; RO ;;;;
 0x004; EFUSE_BLK0_RDATA1; clk ; reset_n ;;;rd_wifi_mac_crc_low; [31:0]; 32'b0; RO   ;;;;
 0x008; EFUSE_BLK0_RDATA2; clk ; reset_n ;;;; [31:24]; 8'b0; RO   ;;;;
;;;;;; rd_wifi_mac_crc_high; [23:0] ; 24'b0 ; RO ;;;;
 0x00c; EFUSE_BLK0_RDATA3; clk ; reset_n ;;;; [31:17]; 15'b0; RO   ;;;;
;;;;;; rd_chip_ver_reserve; [16:4] ; 13'b0 ; RO ;;;;
;;;;;; rd_chip_ver_dis_cache; [3] ; 1'b0 ; RO ;;;;
;;;;;; rd_chip_ver_32pad; [2] ; 1'b0 ; RO ;;;;
;;;;;; rd_chip_ver_dis_bt; [1] ; 1'b0 ; RO ;;;;
;;;;;; rd_soft_disable_jtag; [0] ; 1'b0 ; RO ;;;;
 0x010; EFUSE_BLK0_RDATA4; clk ; reset_n ;;;; [31:17]; 15'b0; RO   ;;;;
;;;;;; rd_sdio_force; [16] ; 1'b0 ; RO ;;;;
;;;;;; rd_sdio_tieh; [15] ; 1'b0 ; RO ;;;;
;;;;;; rd_xpd_sdio_reg; [14] ; 1'b0 ; RO ;;;;
;;;;;; rd_sdio_drefl; [13:12] ; 2'b0 ; RO ;;;;
;;;;;; rd_sdio_drefm; [11:10] ; 2'b0 ; RO ;;;;
;;;;;; rd_sdio_drefh; [9:8] ; 2'b0 ; RO ;;;;
;;;;;; rd_ck8m_freq; [7:0] ; 8'b0 ; RO ;;;;
 0x014; EFUSE_BLK0_RDATA5; clk ; reset_n ;;; rd_flash_crypt_config; [31:28]; 4'b0; RO   ;;;;
;;;;;; rd_reserve_use1; [27:24] ; 4'b0 ; RO ;;;;
;;;;;; rd_tsens_dos; [23:20]; 4'b0; RO ;;;;
;;;;;; rd_spi_pad_config; [19:0] ; 20'b0 ; RO ;;;;
 0x018; EFUSE_BLK0_RDATA6; clk ; reset_n ;;;; [31:11]; 21'b0; RO   ;;;;
;;;;;; rd_key_status; [10] ; 1'b0 ; RO ;;;;
;;;;;; rd_disable_dl_cache; [9] ; 1'b0 ; RO ;;;;
;;;;;; rd_disable_dl_decrypt; [8] ; 1'b0 ; RO ;;;;
;;;;;; rd_disable_dl_encrypt; [7] ; 1'b0 ; RO ;;;;
;;;;;; rd_hard_disable_jtag; [6] ; 1'b0 ; RO ;;;;
;;;;;; rd_abs_done_1; [5] ; 1'b0 ; RO ;;;;
;;;;;; rd_abs_done_0; [4] ; 1'b0 ; RO ;;;;
;;;;;; rd_disable_sdio_host; [3] ; 1'b0 ; RO ;;;;
;;;;;; rd_dig_reserve; [2] ; 1'b0 ; RO ;;;;
;;;;;; rd_coding_scheme; [1:0] ; 2'b0 ; RO ;;;;
 0x01c; EFUSE_BLK0_WDATA0; clk ; reset_n ;;;; [31:28]; 4'b0; RO   ;;;;
;;;;;; reg_flash_crypt_cnt ; [27:20] ; 8'b0 ; R/W ;;;;
;;;;;; reg_efuse_rd_dis ; [19:16] ; 4'b0 ; R/W ;;;;
;;;;;; reg_efuse_wr_dis; [15:0] ; 16'b0 ; R/W ;;;;
 0x020; EFUSE_BLK0_WDATA1; clk ; reset_n ;;; reg_wifi_mac_crc_low; [31:0]; 32'b0; R/W   ;;;;
 0x024; EFUSE_BLK0_WDATA2; clk ; reset_n ;;;; [31:24]; 8'b0; RO   ;;;;
;;;;;; reg_wifi_mac_crc_high; [23:0] ; 24'b0 ; R/W ;;;;
 0x028; EFUSE_BLK0_WDATA3; clk ; reset_n ;;;; [31:17]; 15'b0; RO   ;;;;
;;;;;; reg_chip_ver_reserve; [16:4] ; 13'b0 ; R/W ;;;;
;;;;;; reg_chip_ver_dis_cache; [3] ; 1'b0 ; R/W ;;;;
;;;;;; reg_chip_ver_32pad; [2] ; 1'b0 ; R/W ;;;;
;;;;;; reg_chip_ver_dis_bt; [1] ; 1'b0 ; R/W ;;;;
;;;;;; reg_soft_disable_jtag; [0] ; 1'b0 ; R/W ;;;;
 0x02c; EFUSE_BLK0_WDATA4; clk ; reset_n ;;;; [31:17]; 15'b0; RO   ;;;;
;;;;;; reg_sdio_force; [16] ; 1'b0 ; R/W ;;;;
;;;;;; reg_sdio_tieh; [15] ; 1'b0 ; R/W ;;;;
;;;;;; reg_xpd_sdio_reg; [14] ; 1'b0 ; R/W ;;;;
;;;;;; reg_sdio_drefl; [13:12] ; 2'b0 ; R/W ;;;;
;;;;;; reg_sdio_drefm; [11:10] ; 2'b0 ; R/W ;;;;
;;;;;; reg_sdio_drefh; [9:8] ; 2'b0 ; R/W ;;;;
;;;;;; reg_ck8m_freq; [7:0] ; 8'b0 ; R/W ;;;;
 0x030; EFUSE_BLK0_WDATA5; clk ; reset_n ;;; reg_flash_crypt_config; [31:28]; 4'b0; R/W   ;;;;
;;;;;; reg_reserve_use1; [27:24] ; 4'b0; R/W   ;;;;
;;;;;; reg_tsens_dos; [23:20] ; 4'b0 ; R/W ;;;;
;;;;;; reg_spi_pad_config; [19:0] ; 20'b0 ; R/W ;;;;
 0x034; EFUSE_BLK0_WDATA6; clk ; reset_n ;;;; [31:11]; 11'b0; RO   ;;;;
;;;;;; reg_key_status; [10] ; 1'b0 ; R/W ;;;;
;;;;;; reg_disable_dl_cache; [9] ; 1'b0 ; R/W ;;;;
;;;;;; reg_disable_dl_decrypt; [8] ; 1'b0 ; R/W ;;;;
