Address;RegName;Clk;Rst;Port ; Public ; Signal;BitPos;Default;SW(R/W);Comment;HW(W);MCU(W);MISC;Description
0x0000;RTC_OPTIONS0;dig_clk_rtc_gated;rst_rtc_n;;;sw_sys_rst;[31];1'd0;WO;;;;CLK = dig_clk_rtc;SW system reset
;;;;;;reg_dg_wrap_force_norst;[30];1'd0;R/W;;;;;digital core force no reset in deep sleep
;;;;;;reg_dg_wrap_force_rst;[29];1'd0;R/W;;;;;digital wrap force reset in deep sleep
;;;;;N/A;reg_analog_force_noiso;[28];1'd1;R/W;;;;;
;;;;;N/A;reg_pll_force_noiso;[27];1'd1;R/W;;;;;
;;;;;N/A;reg_xtl_force_noiso;[26];1'd1;R/W;;;;;
;;;;;N/A;reg_analog_force_iso;[25];1'd0;R/W;;;;;
;;;;;N/A;reg_pll_force_iso;[24];1'd0;R/W;;;;;
;;;;;N/A;reg_xtl_force_iso;[23];1'd0;R/W;;;;;
;;;;;;reg_bias_core_force_pu;[22];1'd1;R/W;;;;;BIAS_CORE force power up
;;;;;;reg_bias_core_force_pd;[21];1'b0;R/W;;;;;BIAS_CORE force power down
;;;;;;reg_bias_core_folw_8m;[20];1'd0;R/W;;;;;BIAS_CORE follow CK8M
;;;;;;reg_bias_i2c_force_pu;[19];1'd1;R/W;;;;;BIAS_I2C force power up
;;;;;;reg_bias_i2c_force_pd;[18];1'b0;R/W;;;;;BIAS_I2C force power down
;;;;;;reg_bias_i2c_folw_8m;[17];1'd0;R/W;;;;;BIAS_I2C follow CK8M
;;;;;;reg_bias_force_nosleep;[16];1'd1;R/W;;;;;BIAS_SLEEP force no sleep
;;;;;;reg_bias_force_sleep;[15];1'b0;R/W;;;;;BIAS_SLEEP force sleep
;;;;;;reg_bias_sleep_folw_8m;[14];1'b0;R/W;;;;;BIAS_SLEEP follow CK8M
;;;;;;reg_xtl_force_pu;[13];1'd1;R/W;;;;;crystall force power up
;;;;;;reg_xtl_force_pd;[12];1'b0;R/W;;;;;crystall force power down
;;;;;;reg_bbpll_force_pu;[11];1'd0;R/W;;;;;BB_PLL force power up
;;;;;;reg_bbpll_force_pd;[10];1'b0;R/W;;;;;BB_PLL force power down
;;;;;;reg_bbpll_i2c_force_pu;[9];1'd0;R/W;;;;;BB_PLL_I2C force power up
;;;;;;reg_bbpll_i2c_force_pd;[8];1'b0;R/W;;;;;BB_PLL _I2C force power down
;;;;;;reg_bb_i2c_force_pu;[7];1'd0;R/W;;;;;BB_I2C force power up
;;;;;;reg_bb_i2c_force_pd;[6];1'b0;R/W;;;;;BB_I2C force power down
;;;;;;sw_procpu_rst;[5];1'b0;WO;;;;;PRO CPU SW reset
;;;;;;sw_appcpu_rst;[4];1'b0;WO;;;;;APP CPU SW reset
;;;;;;reg_sw_stall_procpu_c0;[3:2];2'b0;R/W;;;;;{reg_sw_stall_procpu_c1[5:0],  reg_sw_stall_procpu_c0[1:0]} == 0x86 will stall PRO CPU
;;;;;;reg_sw_stall_appcpu_c0;[1:0];2'b0;R/W;;;;;{reg_sw_stall_appcpu_c1[5:0],  reg_sw_stall_appcpu_c0[1:0]} == 0x86 will stall APP CPU
0x0001;RTC_SLP_TIMER0;dig_clk_rtc_gated;rst_rtc_n;;;reg_slp_val_lo;[31:0];32'h0;R/W;;;;IO = O, hwr_rtc_slp_timer0;RTC sleep timer low 32 bits
0x0002;RTC_SLP_TIMER1;dig_clk_rtc_gated;rst_rtc_n;;;;[31:17];;;;;;IO = O,hwr_rtc_slp_timer1;
;;;;;;reg_rtc_main_timer_alarm_en;[16];1'h0;R/W;;;;;timer alarm enable bit
;;;;;;reg_slp_val_hi;[15:0];16'h0;R/W;;;;;RTC sleep timer high 16 bits
0x0003;RTC_TIME_UPDATE;dig_clk_rtc_gated;rst_rtc_n;;;rtc_time_update;[31];1'h0;WO;;;;;Set 1: to update register with RTC timer
;;;;;;rtc_time_valid;[30];1'b0;RO;;;;;To indicate the register is updated
;;;;;;;[29:0];;;;;;;
0x0004;RTC_TIME0;dig_clk_rtc_gated;rst_rtc_n;;;rtc_time_lo;[31:0];32'h0;RO;;;;;RTC timer low 32 bits
0x0005;RTC_TIME1;dig_clk_rtc_gated;rst_rtc_n;;;;[31:16];;;;;;;
;;;;;;rtc_time_hi;[15:0];16'h0;RO;;;;;RTC timer high 16 bits
0x0006;RTC_STATE0;dig_clk_rtc;rst_rtc_n;;;reg_sleep_en;[31];1'd0;R/W;;sleep_accept_ind/1'd0,sleep_reject_ind/1'd0;;CLK = dig_clk_rtc;sleep enable bit
;;;;;;slp_reject;[30];1'd0;R/W;;rtc_wakeup/1'd0,rtc_sleep_reject/1'd1;;sCLK = dig_clk_rtc;leep reject bit
;;;;;;slp_wakeup;[29];1'd0;R/W;;rtc_wakeup/1'd1,rtc_sleep_reject/1'd0;;sCLK = dig_clk_rtc;leep wakeup bit
;;;;;;sdio_active_ind;[28];1'd0;RO;;;;;SDIO active indication
;;;;;;;[27:25];;;;;;;
;;;;;;reg_ulp_cp_slp_timer_en;[24];1'd0;R/W;;;;;ULP-coprocessor timer enable bit
;;;;;;reg_touch_slp_timer_en;[23];1'd0;R/W;;;;;touch timer enable bit
;;;;;;reg_apb2rtc_bridge_sel;[22];1'd0;R/W;;;;;1: APB to RTC using bridge,  0: APB to RTC using sync
;;;;;N/A;reg_ulp_cp_wakeup_force_en;[21];1'd1;R/W;;;;;ULP-coprocessor force wake up
;;;;;N/A;reg_touch_wakeup_force_en;[20];1'd1;R/W;;;;;touch controller force wake up
;;;;;N/A;reg_cocpu_wakeup_force_en;[19];1'd1;R/W;;;;;riscV cocpu force wake up
;;;;;N/A;reg_cocpu_wakeup;[18];1'd0;R/W;;;;;riscV cocpu wake up register
;;;;;N/A;reg_tsens_int_en;[17];1'd1;R/W;;;;;tsens interrupt enable
;;;;;N/A;reg_saradc_int_en;[16];1'd1;R/W;;;;;saradc interrupt enable
;;;;;;;[15:0];;;;;;;
0x0007;RTC_TIMER1;dig_clk_rtc_gated;rst_rtc_n;;;pll_buf_wait;[31:24];8'd40;R/W;;;;;PLL wait cycles in slow_clk_rtc
;;;;;;xtl_buf_wait;[23:14];10'd80;R/W;;;;;XTAL wait cycles in slow_clk_rtc
;;;;;;reg_ck8m_wait;[13:6];8'h10;R/W;;;;;CK8M wait cycles in slow_clk_rtc
;;;;;;reg_cpu_stall_wait;[5:1];5'd1;R/W;;;;;CPU stall wait cycles in fast_clk_rtc
;;;;;;reg_cpu_stall_en;[0];1'd1;R/W;;;;;CPU stall enable bit
0x0008;RTC_TIMER2;dig_clk_rtc_gated;rst_rtc_n;;;reg_min_time_ck8m_off;[31:24];8'h1;R/W;;;;;minimal cycles in slow_clk_rtc for CK8M in power down state
;;;;;;reg_ulpcp_touch_start_wait;[23:15];9'h10;R/W;;;;;wait cycles in slow_clk_rtc before ULP-coprocessor / touch controller start to work
;;;;;;;[14:0];;;;;;;
0x0009;RTC_TIMER3;dig_clk_rtc_gated;rst_rtc_n;;N/A;reg_rom_ram_powerup_timer;[31:25];7'd10;R/W;;;;;
;;;;;N/A;reg_rom_ram_wait_timer;[24:16];9'h16;R/W;;;;;
;;;;;N/A;reg_wifi_powerup_timer;[15:9];7'h5;R/W;;;;;
;;;;;N/A;reg_wifi_wait_timer;[8:0];9'h8;R/W;;;;;
0x000a;RTC_TIMER4;dig_clk_rtc_gated;rst_rtc_n;;N/A;reg_dg_wrap_powerup_timer;[31:25];7'h8;R/W;;;;;
;;;;;N/A;reg_dg_wrap_wait_timer;[24:16];9'h20;R/W;;;;;
;;;;;N/A;reg_rtc_powerup_timer;[15:9];7'h5;R/W;;;;;
;;;;;N/A;reg_rtc_wait_timer;[8:0];9'h8;R/W;;;;;
0x000b;RTC_TIMER5;dig_clk_rtc_gated;rst_rtc_n;;N/A;reg_rtcmem_powerup_timer;[31:25];7'h9;R/W;;;;;
;;;;;N/A;reg_rtcmem_wait_timer;[24:16];9'h14;R/W;;;;;
;;;;;;reg_min_slp_val;[15:8];8'h80;R/W;;;;;minimal sleep cycles in slow_clk_rtc
;;;;;N/A;reg_ulp_cp_subtimer_prediv;[7:0];8'd1;R/W;;;;;
0x000c;RTC_TIMER6;dig_clk_rtc_gated;rst_rtc_n;;;reg_dg_dcdc_powerup_timer;[31:25];7'h8;R/W;;;;;
;;;;;;reg_dg_dcdc_wait_timer;[24:16];9'h20;R/W;;;;;
;;;;;;;[15:0];;;;;;;
0x000d;RTC_ANA_CONF;dig_clk_rtc_gated;rst_rtc_n;;;reg_pll_i2c_pu;[31];1'd0;R/W;;;;;
;;;;;;reg_ckgen_i2c_pu;[30];1'd0;R/W;;;;;1: CKGEN_I2C power up,  otherwise power down
;;;;;;;[29];;;;;;;
;;;;;;reg_rfrx_pbus_pu;[28];1'd0;R/W;;;;;1: RFRX_PBUS power up,  otherwise power down
;;;;;;reg_txrf_i2c_pu;[27];1'd0;R/W;;;;;1: TXRF_I2C power up,  otherwise power down
;;;;;;reg_pvtmon_pu;[26];1'b0;R/W;;;;;1: PVTMON power up,  otherwise power down
;;;;;N/A;reg_bbpll_cal_slp_start;[25];1'b0;R/W;;;;;start BBPLL calibration during sleep
;;;;;;reg_plla_force_pu;[24];1'b0;R/W;;;;;PLLA force power up
;;;;;;reg_plla_force_pd;[23];1'b1;R/W;;;;;PLLA force power down
;;;;;;reg_pwdet_cal_force_en;[22:21];2'd0;R/W;;;;;pwdet force option
;;;;;;reg_pkdet_cal_force_en;[20:19];2'd0;R/W;;;;;pkdet force option
;;;;;;;[18:0];;;;;;;
0x000e;RTC_RESET_STATE;dig_clk_rtc_gated;rst_rtc_n;;;;[31:14];;;;;;;
;;;;;;procpu_stat_vector_sel;[13];1'b1;R/W;;;;;PRO CPU state vector sel
;;;;;;appcpu_stat_vector_sel;[12];1'b1;R/W;;;;;APP CPU state vector sel
;;;;;;reset_cause_appcpu;[11:6];0;RO;;;;;reset cause of APP CPU
;;;;;;reset_cause_procpu;[5:0];0;RO;;;;;reset cause of PRO CPU
0x000f;RTC_WAKEUP_STATE;dig_clk_rtc_gated;rst_rtc_n;;;;[31:25];;;;;;;
;;;;;;reg_gpio_wakeup_filter;[24];1'd0;R/W;;;;;enable filter for gpio wakeup event
;;;;;;reg_rtc_wakeup_ena;[23:12];12'b1100;R/W;;;;;wakeup enable bitmap
;;;;;;wakeup_cause;[11:0];12'h0;RO;;;;;wakeup cause
