 Address ; RegName ; Clk ; Rst ; Port ; Public ; Signal ; BitPos ; Default ; SW(R/W) ; HW(W) ; MCU(W) ; MISC ; Description 
0x000;APB_CTRL_SYSCLK_CONF; clk ; reset_n ;;;; [31:16] ; 16'h0 ; RO   ;;;;
;;;;;;apb_ctrl_soc_clk_sel; [15:14]; 2'd0; R/W ;;;;
;;;;;; ; [13]; 1'b0; RO ;;;;
;;;;;;apb_ctrl_rst_tick_cnt; [12]; 1'b0; R/W ;;;;
;;;;Not;;reg_clk_en; [11]; 1'b0; R/W ;;;;
;;;;;;apb_ctrl_clk_320m_en ; [10] ; 1'b0; R/W ;;;;
;;;;;;apb_ctrl_pre_div_cnt; [9:0]; 10'h0; R/W ;;;;
0x004;APB_CTRL_TICK_CONF; clk ; reset_n ;;;; [31:17]; 15'd0; RO   ;;;;
;;;;;;apb_ctrl_tick_enable; [16]; 1'd1; R/W ;;;;
;;;;;;apb_ctrl_ck8m_tick_num; [15:8]; 8'd7; R/W ;;;;
;;;;;;apb_ctrl_xtal_tick_num; [7:0]; 8'd39; R/W ;;;;
0x008;APB_SARADC_CTRL; clk ; reset_n ;;;; [31:29]; 3'd0; RO   ;;;;
;;;;;;reg_saradc_xpd_sar_force; [28:27]; 2'd0; R/W ;;;;force option to xpd sar blocks
;;;;;;reg_saradc_data_to_i2s; [26]; 1'b0; R/W ;;;;1: I2S input data is from SAR ADC (for DMA), 0: I2S input data is from GPIO matrix  
;;;;;;reg_saradc_data_sar_sel; [25]; 1'b0; R/W ;;;;1: sar_sel will be coded by the MSB of the 16-bit output data, in this case the resolution should not be larger than 11 bits.
;;;;;;reg_saradc_sar2_patt_p_clear; [24]; 1'd0; R/W ;;;;clear the pointer of pattern table for DIG ADC2 CTRL
;;;;;;reg_saradc_sar1_patt_p_clear; [23]; 1'd0; R/W ;;;;clear the pointer of pattern table for DIG ADC1 CTRL
;;;;;;reg_saradc_sar2_patt_len; [22:19]; 4'd15; R/W ;;;; 0 ~ 15 means length 1 ~ 16
;;;;;;reg_saradc_sar1_patt_len; [18:15]; 4'd15; R/W ;;;; 0 ~ 15 means length 1 ~ 16
;;;;;;reg_saradc_sar_clk_div; [14:7]; 8'd4; R/W ;;;;SAR clock divider
;;;;;1'b1;reg_saradc_sar_clk_gated; [6]; 1'b1; R/W ;;;;
;;;;;;reg_saradc_sar_sel; [5]; 1'd0; R/W ;;;; 0: SAR1, 1: SAR2, only work for single SAR mode
;;;;;;reg_saradc_work_mode; [4:3]; 2'd0; R/W ;;;; 0: single mode, 1: double mode, 2: alternate mode
;;;;;;; [2];;;;;;
;;;;;1'b0;reg_saradc_start; [1]; 1'd0; R/W ;;;;
;;;;;1'b0;reg_saradc_start_force; [0]; 1'd0; R/W ;;;;
0x00C;APB_SARADC_CTRL2; clk ; reset_n ;;;; [31:21]; 21'd0; RO   ;;;;
;;;;;;reg_saradc_timer_en; [20]; 1'd0; R/W ;;;;to enable saradc timer trigger
;;;;;;reg_saradc_timer_target; [19:12]; 8'd10; R/W ;;;;to set saradc timer target
;;;;;;reg_saradc_timer_sel; [11]; 1'd0; R/W ;;;;1: select saradc timer 0: i2s_ws trigger
;;;;;;reg_saradc_sar2_inv; [10]; 1'd0; R/W ;;;;1: data to DIG ADC2 CTRL is inverted, otherwise not
;;;;;;reg_saradc_sar1_inv; [9]; 1'd0; R/W ;;;;1: data to DIG ADC1 CTRL is inverted, otherwise not
;;;;;;reg_saradc_max_meas_num; [8:1]; 8'd255; R/W ;;;;max conversion number
;;;;;1'b1;reg_saradc_meas_num_limit; [0]; 1'd0; R/W ;;;;
0x010;APB_SARADC_FSM; clk ; reset_n ;;;reg_saradc_sample_cycle; [31:24]; 8'd2; R/W   ;;;;sample cycles
;;;;;;reg_saradc_sample_num; [23:16]; 8'd0; R/W   ;;;;sample number
;;;;;;; [15:0]; 16'd0; RO   ;;;;
0x014;APB_SARADC_FSM_WAIT; clk ; reset_n ;;;; [31:24]; 8'd0; RO   ;;;;
;;;;;N/A;reg_saradc_standby_wait; [23:16]; 8'd255; R/W ;;;;
;;;;;N/A;reg_saradc_rstb_wait; [15:8]; 8'd8; R/W ;;;;
;;;;;N/A;reg_saradc_xpd_wait; [7:0]; 8'd8; R/W ;;;;
0x018;APB_SARADC_SAR1_STATUS; clk ; reset_n ;;N/A;reg_saradc_sar1_status; [31:0]; 32'd0; RO   ;;;;
0x01C;APB_SARADC_SAR2_STATUS; clk ; reset_n ;;N/A;reg_saradc_sar2_status; [31:0]; 32'd0; RO   ;;;;
