 Address ; RegName ; Clk ; Rst ; Port ; Public ; Signal ; BitPos ; Default ; SW(R/W) ; HW(W) ; MCU(W) ; MISC ; Description 
0x000;PGM_DATA0; clk ; reset_n ;;;reg_wr_dis;[31:0]; 32'b0; R/W ;;;;
0x004;PGM_DATA1; clk ; reset_n ;;;reg_sdio_drefh;[31:30];2'b0; R/W ;;;;
;;;;;;reg_sdio_modecurlim;[29];1'b0; R/W ;;;;
;;;;;;reg_usb_dres;[28:25];4'b0; R/W ;;;;
;;;;;;reg_usb_exchg_pins;[24];1'b0; R/W ;;;;
;;;;;;reg_usb_drefl;[23:22];2'b0; R/W ;;;;
;;;;;;reg_usb_drefh;[21:20];2'b0; R/W ;;;;
;;;;;;reg_dis_download_manual_encrypt;[19];1'b0; R/W ;;;;
;;;;;;reg_hard_dis_jtag;[18];1'b0; R/W ;;;;
;;;;;;reg_soft_dis_jtag;[17];1'b0; R/W ;;;;
;;;;;;reg_dis_efuse_ate_wr;[16];1'b0; R/W ;;;;
;;;;;;reg_dis_sdio_access;[15];1'b0; R/W ;;;;
;;;;;;reg_dis_can;[14];1'b0; R/W ;;;;
;;;;;;reg_dis_usb;[13];1'b0; R/W ;;;;
;;;;;;reg_dis_bt;[12];1'b0; R/W ;;;;
;;;;;;reg_dis_download_dcache;[11];1'b0; R/W ;;;;
;;;;;;reg_dis_download_icache;[10];1'b0; R/W ;;;;
;;;;;;reg_dis_dcache;[9];1'b0; R/W ;;;;
;;;;;;reg_dis_icache;[8];1'b0; R/W ;;;;
;;;;;;reg_dis_rtc_ram_boot;[7];1'b0; R/W ;;;;
;;;;;;reg_rd_dis;[6:0];7'h0; R/W ;;;;
0x008;PGM_DATA2; clk ; reset_n ;;;reg_key_purpose_1;[31:28];4'b0; R/W ;;;;
;;;;;;reg_key_purpose_0;[27:24];4'b0; R/W ;;;;
;;;;;;reg_secure_boot_key_revoke2;[23];1'b0; R/W ;;;;
;;;;;;reg_secure_boot_key_revoke1;[22];1'b0; R/W ;;;;
;;;;;;reg_secure_boot_key_revoke0;[21];1'b0; R/W ;;;;
;;;;;;reg_spi_boot_crypt_cnt;[20:18];3'b0; R/W ;;;;
;;;;;;reg_wdt_delay_sel;[17:16];2'b0; R/W ;;;;
;;;;;;reg_sdio_dcap;[15:14];2'b0; R/W ;;;;
;;;;;;reg_sdio_init;[13:12];2'b0; R/W ;;;;
;;;;;;reg_sdio_dcurlim;[11:9]];3'b0; R/W ;;;;
;;;;;;reg_sdio_encurlim;[8];1'b0; R/W ;;;;
;;;;;;reg_sdio_en_init;[7];1'b0; R/W ;;;;
;;;;;;reg_sdio_force;[6];1'b0; R/W ;;;;
;;;;;;reg_sdio_tieh;[5];1'b0; R/W ;;;;
;;;;;;reg_sdio_xpd;[4];1'b0; R/W ;;;;
;;;;;;reg_sdio_drefl;[3:2];2'b0; R/W ;;;;
;;;;;;reg_sdio_drefm;[1:0];2'b0; R/W ;;;;
0x00c;PGM_DATA3; clk ; reset_n ;;;reg_flash_tpuw;[31:28];4'b0; R/W ;;;;
;;;;;;reg_xtal_freq;[27:22];6'b0; R/W ;;;;
;;;;;;reg_secure_boot_aggressive_revoke;[21];1'b0; R/W ;;;;
;;;;;;reg_secure_boot_en;[20];1'b0; R/W ;;;;
;;;;;;reg_key_purpose_6;[19:16];4'b0; R/W ;;;;
;;;;;;reg_key_purpose_5;[15:12];4'b0; R/W ;;;;
;;;;;;reg_key_purpose_4;[11:8];4'b0; R/W ;;;;
;;;;;;reg_key_purpose_3;[7:4];4'b0; R/W ;;;;
;;;;;;reg_key_purpose_2;[3:0];4'b0; R/W ;;;;
0x010;PGM_DATA4; clk ; reset_n ;;;reg_reserve;[31:8];24'h0; R/W ;;;;
;;;;;;reg_uart_print_control;[7:6];2'b0; R/W ;;;;
