 Address ; RegName ; Clk ; Rst ; Port ; Public ; Signal ; BitPos ; Default ; SW(R/W) ; HW(W) ; MCU(W) ; MISC ; Description ;
 0x0008 ; I2SCONF ; clk ; reset_n ;;;; [31:30] ; 2'h0 ;RO;;;;;
;;;; Not ;; i2s_rx_reset_st; [29]; 1'b0;RO;i2s_rx_reset_clr/1'b0; i2s_rx_reset/1'b1;;;
;;;;;; reg_rx_big_endian; [28] ; 1'b0; R/W ;;;;;
;;;;;; reg_tx_big_endian; [27]; 1'b0; R/W ;;;;;
;;;;;; pre_req_en; [26]; 1'b0; R/W ;;;;set this bit to enable i2s to prepare data earlier;
;;;;;; reg_rx_dma_equal; [25]; 1'b0; R/W ;;;;1:data in left channel is equal to data in right channel;
;;;;;; reg_tx_dma_equal; [24]; 1'b0; R/W ;;;;1:data in left channel is equal to data in right channel;
;;;; Not ;; i2s_tx_reset_st; [23]; 1'b0;RO;i2s_tx_reset_clr/1'b0; i2s_tx_reset/1'b1;;1: i2s_tx_reset is not ok   0: i2s_tx_reset is ok;
;;;;;; i2s_rx_fifo_reset_st; [22]; 1'b0;RO;;;;1:i2s_rx_fifo_reset is not ok   0:i2s_rx_fifo reset is ok;
;;;;;; i2s_tx_fifo_reset_st; [21]; 1'b0;RO;;;;1:i2s_tx_fifo reset is not ok   0:i2s_tx_fifo_reset is ok;
;;;;;; reg_i2s_sig_loopback; [20]; 1'b0; R/W ;;;;Enable signal loopback mode with transmitter module and receiver module sharing the same WS and BCK signals.;
;;;;;; reg_rx_LSB_first_DMA ; [19]; 1'b1 ; R/W ;;;;1:the data in DMA/APB transform from low bits;0:the data from DMA/APB transform from high bits
;;;;;; reg_tx_LSB_first_DMA ; [18]; 1'b1 ; R/W ;;;;1:the data in DMA/APB transform from low bits;0:the data from DMA/APB transform from high bits
;;;;;; reg_rx_MSB_right ; [17]; 1'b0 ; R/W ;;;;Set this bit to place right channel data at the MSB in the receive FIFO.;
;;;;;; reg_tx_MSB_right ; [16]; 1'b0 ; R/W ;;;;Set this bit to place right channel data at the MSB in the transmit FIFO.;
;;;;;; reg_i2s_rx_mono; [15] ; 1'b0 ;  R/W ;;;;Set this bit to enable receiver  in mono mode;
;;;;;; reg_i2s_tx_mono; [14] ; 1'b0 ;  R/W ;;;;Set this bit to enable transmitter in mono mode  ;
;;;;;; reg_i2s_rx_short_sync; [13] ; 1'b0 ;  R/W ;;;;Set this bit to enable receiver in PCM standard mode;
;;;;;; reg_i2s_tx_short_sync; [12] ; 1'b0 ;  R/W ;;;;Set this bit to enable transmitter in PCM standard mode;
;;;;;; reg_rx_MSB_shift; [11]; 1'b0 ; R/W ;;;;Set this bit to enable receiver in Phillips standard mode;
;;;;;; reg_tx_MSB_shift; [10]; 1'b0 ; R/W ;;;;Set this bit to enable transmitter in Phillips standard mode;
;;;;;; reg_rx_right_first ; [9]; 1'b1 ; R/W ;;;;Set this bit to receive right channel data first;
;;;;;; reg_tx_right_first ; [8]; 1'b1 ; R/W ;;;;Set this bit to transmit right channel data first;
;;;;;; reg_rx_slave_mod; [7]; 1'b0 ; R/W ;;;;Set this bit to enable slave receiver mode;
;;;;;; reg_tx_slave_mod ; [6]; 1'b0 ; R/W ;;;;Set this bit to enable slave transmitter mode  ;
;;;;;; i2s_rx_start; [5]; 1'b0 ; R/W ;;;;Set this bit to start receiving data;
;;;;;; i2s_tx_start; [4]; 1'b0 ; R/W ;;;;Set this bit to start transmitting data ;
;;;;;; i2s_rx_fifo_reset; [3]; 1'b0 ;WO;;;;Set this bit to reset rxFIFO;
;;;;;; i2s_tx_fifo_reset; [2] ; 1'b0 ;WO;;;;Set this bit to reset txFIFO;
;;;;;; i2s_rx_reset; [1] ; 1'b0 ;WO;;;;Set this bit to reset receiver;
;;;;;; i2s_tx_reset; [0] ; 1'b0 ;WO;;;;Set this bit to reset transmitter;
 0x000c; I2SINT_RAW; clk; reset_n ;;;; [31:18]; 14'h0 ; RO ;;;INT_RAW;;
;;;; Not ;; i2s_v_sync_int_raw ; [17] ; 1'b0 ; RO   ; i2s_v_sync_pos/1'b1 ; i2s_v_sync_int_clr /1'b0 ;;The raw interrupt status bit  for the i2s_v_sync_int interrupt;
;;;; Not ;; i2s_out_total_eof_int_raw ; [16] ; 1'b0 ; RO   ; i2s_out_total_eof/1'b1 ; i2s_out_total_eof_int_clr/1'b0 ;;The raw interrupt status bit  for the i2s_out_total_eof_int interrupt;
;;;; Not ;; i2s_in_dscr_empty_int_raw ; [15] ; 1'b0 ; RO   ; inlink_dscr_empty/1'b1 ; i2s_in_dscr_empty_int_clr/1'b0 ;;The raw interrupt status bit  for the i2s_in_dscr_empty_int interrupt;
;;;; Not ;; i2s_out_dscr_err_int_raw ; [14] ; 1'b0 ; RO   ; outlink_dscr_error/1'b1 ; i2s_out_dscr_err_int_clr/1'b0 ;;The raw interrupt status bit  for the i2s_out_dscr_err_int interrupt;
;;;; Not ;; i2s_in_dscr_err_int_raw ; [13] ; 1'b0 ; RO   ; inlink_dscr_error/1'b1 ; i2s_in_dscr_err_int_clr/1'b0 ;;The raw interrupt status bit  for the i2s_in_dscr_err_int interrupt;
;;;; Not ;; i2s_out_eof_int_raw ; [12] ; 1'b0 ; RO   ; i2s_out_eof/1'b1 ; i2s_out_eof_int_clr/1'b0 ;;The raw interrupt status bit  for the i2s_out_eof_int interrupt;
;;;; Not ;; i2s_out_done_int_raw ; [11] ; 1'b0 ; RO   ; i2s_out_done/1'b1 ; i2s_out_done_int_clr/1'b0 ;;The raw interrupt status bit  for the i2s_out_done_int interrupt;
;;;; Not ;N/A; i2s_in_err_eof_int_raw ; [10] ; 1'b0 ; RO   ; i2s_in_err_eof/1'b1 ; i2s_in_err_eof_int_clr/1'b0 ;;don't use;
