Address;RegName;Clk;Rst;Port ; Public ; Signal;BitPos;Default;SW(R/W);Comment;HW(W);MCU(W);MISC;Description
0x0;RTC_GPIO_OUT;dig_clk_rtc_gated;rst_rtc_n;;;rtc_gpio_out_data;[31:10];0;R/W;WXTX;;;;RTC GPIO 0 ~ 21 output data
;;;;;;;[9:0];;;;;;;
0x4;RTC_GPIO_OUT_W1TS;dig_clk_rtc_gated;rst_rtc_n;Not;;rtc_gpio_out_data_w1ts;[31:10];0;WO;;;;;RTC GPIO 0 ~ 21 output data write 1 to set
;;;;;;;[9:0];;;;;;;
0x8;RTC_GPIO_OUT_W1TC;dig_clk_rtc_gated;rst_rtc_n;Not;;rtc_gpio_out_data_w1tc;[31:10];0;WO;;;;;RTC GPIO 0 ~ 21 output data write 1 to clear
;;;;;;;[9:0];;;;;;;
0xC;RTC_GPIO_ENABLE;dig_clk_rtc_gated;rst_rtc_n;;;reg_rtc_gpio_enable;[31:10];0;R/W;WXTX;;;;RTC GPIO 0 ~ 21 enable
;;;;;;;[9:0];;;;;;;
0x10;RTC_GPIO_ENABLE_W1TS;dig_clk_rtc_gated;rst_rtc_n;Not;;reg_rtc_gpio_enable_w1ts;[31:10];0;WO;;;;;RTC GPIO 0 ~ 21 enable write 1 to set
;;;;;;;[9:0];;;;;;;
0x14;RTC_GPIO_ENABLE_W1TC;dig_clk_rtc_gated;rst_rtc_n;Not;;reg_rtc_gpio_enable_w1tc;[31:10];0;WO;;;;;RTC GPIO 0 ~ 21 enable write 1 to clear
;;;;;;;[9:0];;;;;;;
0x18;RTC_GPIO_STATUS;dig_clk_rtc;rst_rtc_n;Not;;rtc_gpio_status_int;[31:10];0;R/W;INT;;;IO = I, rtc_gpio_int[21:0];RTC GPIO 0 ~ 21 interrupt status
;;;;;;;[9:0];;;;;;;
0x1C;RTC_GPIO_STATUS_W1TS;dig_clk_rtc;rst_rtc_n;Not;;rtc_gpio_status_int_w1ts;[31:10];0;WO;;;;;RTC GPIO 0 ~ 21 interrupt status write 1 to set
;;;;;;;[9:0];;;;;;;
0x20;RTC_GPIO_STATUS_W1TC;dig_clk_rtc;rst_rtc_n;Not;;rtc_gpio_status_int_w1tc;[31:10];0;WO;;;;;RTC GPIO 0 ~ 21 interrupt status write 1 to clear
;;;;;;;[9:0];;;;;;;
0x24;RTC_GPIO_IN;dig_clk_rtc_gated;rst_rtc_n;;;rtc_gpio_in_next;[31:10];;RO;;;;;RTC GPIO input data
;;;;;;;[9:0];;;;;;;
0x28;RTC_GPIO_PIN0;dig_clk_rtc_gated;rst_rtc_n;;;;[31:11];;;;;;;
;;;;;;RTC_GPIO_PIN0_WAKEUP_ENABLE;[10];0;R/W;;;;;RTC GPIO wakeup enable bit
;;;;;;RTC_GPIO_PIN0_INT_TYPE;[9:7];0;R/W;;;;;if set to 0: GPIO interrupt disable,  if set to 1: rising edge trigger,  if set to 2: falling edge trigger, if set to 3: any edge trigger, if set to 4: low level trigger,  if set to 5: high level trigger
;;;;;;;[6:3];;;;;;;
;;;;;;RTC_GPIO_PIN0_PAD_DRIVER;[2];0;R/W;;;;;if set to 0: normal output, if set to 1: open drain
;;;;;;;[1:0];;;;;;;
0x2C;RTC_GPIO_PIN1;dig_clk_rtc_gated;rst_rtc_n;;;;[31:11];;;;;;;
;;;;;;RTC_GPIO_PIN1_WAKEUP_ENABLE;[10];0;R/W;;;;;RTC GPIO wakeup enable bit
;;;;;;RTC_GPIO_PIN1_INT_TYPE;[9:7];0;R/W;;;;;if set to 0: GPIO interrupt disable,  if set to 1: rising edge trigger,  if set to 2: falling edge trigger, if set to 3: any edge trigger, if set to 4: low level trigger,  if set to 5: high level trigger
;;;;;;;[6:3];;;;;;;
;;;;;;RTC_GPIO_PIN1_PAD_DRIVER;[2];0;R/W;;;;;if set to 0: normal output, if set to 1: open drain
;;;;;;;[1:0];;;;;;;
0x30;RTC_GPIO_PIN2;dig_clk_rtc_gated;rst_rtc_n;;;;[31:11];;;;;;;
;;;;;;RTC_GPIO_PIN2_WAKEUP_ENABLE;[10];0;R/W;;;;;RTC GPIO wakeup enable bit
;;;;;;RTC_GPIO_PIN2_INT_TYPE;[9:7];0;R/W;;;;;if set to 0: GPIO interrupt disable,  if set to 1: rising edge trigger,  if set to 2: falling edge trigger, if set to 3: any edge trigger, if set to 4: low level trigger,  if set to 5: high level trigger
;;;;;;;[6:3];;;;;;;
;;;;;;RTC_GPIO_PIN2_PAD_DRIVER;[2];0;R/W;;;;;if set to 0: normal output, if set to 1: open drain
;;;;;;;[1:0];;;;;;;
0x34;RTC_GPIO_PIN3;dig_clk_rtc_gated;rst_rtc_n;;;;[31:11];;;;;;;
;;;;;;RTC_GPIO_PIN3_WAKEUP_ENABLE;[10];0;R/W;;;;;RTC GPIO wakeup enable bit
;;;;;;RTC_GPIO_PIN3_INT_TYPE;[9:7];0;R/W;;;;;if set to 0: GPIO interrupt disable,  if set to 1: rising edge trigger,  if set to 2: falling edge trigger, if set to 3: any edge trigger, if set to 4: low level trigger,  if set to 5: high level trigger
;;;;;;;[6:3];;;;;;;
;;;;;;RTC_GPIO_PIN3_PAD_DRIVER;[2];0;R/W;;;;;if set to 0: normal output, if set to 1: open drain
;;;;;;;[1:0];;;;;;;
0x38;RTC_GPIO_PIN4;dig_clk_rtc_gated;rst_rtc_n;;;;[31:11];;;;;;;
;;;;;;RTC_GPIO_PIN4_WAKEUP_ENABLE;[10];0;R/W;;;;;RTC GPIO wakeup enable bit
;;;;;;RTC_GPIO_PIN4_INT_TYPE;[9:7];0;R/W;;;;;if set to 0: GPIO interrupt disable,  if set to 1: rising edge trigger,  if set to 2: falling edge trigger, if set to 3: any edge trigger, if set to 4: low level trigger,  if set to 5: high level trigger
;;;;;;;[6:3];;;;;;;
;;;;;;RTC_GPIO_PIN4_PAD_DRIVER;[2];0;R/W;;;;;if set to 0: normal output, if set to 1: open drain
;;;;;;;[1:0];;;;;;;
0x3C;RTC_GPIO_PIN5;dig_clk_rtc_gated;rst_rtc_n;;;;[31:11];;;;;;;
;;;;;;RTC_GPIO_PIN5_WAKEUP_ENABLE;[10];0;R/W;;;;;RTC GPIO wakeup enable bit
;;;;;;RTC_GPIO_PIN5_INT_TYPE;[9:7];0;R/W;;;;;if set to 0: GPIO interrupt disable,  if set to 1: rising edge trigger,  if set to 2: falling edge trigger, if set to 3: any edge trigger, if set to 4: low level trigger,  if set to 5: high level trigger
;;;;;;;[6:3];;;;;;;
;;;;;;RTC_GPIO_PIN5_PAD_DRIVER;[2];0;R/W;;;;;if set to 0: normal output, if set to 1: open drain
;;;;;;;[1:0];;;;;;;
0x40;RTC_GPIO_PIN6;dig_clk_rtc_gated;rst_rtc_n;;;;[31:11];;;;;;;
;;;;;;RTC_GPIO_PIN6_WAKEUP_ENABLE;[10];0;R/W;;;;;RTC GPIO wakeup enable bit
;;;;;;RTC_GPIO_PIN6_INT_TYPE;[9:7];0;R/W;;;;;if set to 0: GPIO interrupt disable,  if set to 1: rising edge trigger,  if set to 2: falling edge trigger, if set to 3: any edge trigger, if set to 4: low level trigger,  if set to 5: high level trigger
;;;;;;;[6:3];;;;;;;
;;;;;;RTC_GPIO_PIN6_PAD_DRIVER;[2];0;R/W;;;;;if set to 0: normal output, if set to 1: open drain
;;;;;;;[1:0];;;;;;;
0x44;RTC_GPIO_PIN7;dig_clk_rtc_gated;rst_rtc_n;;;;[31:11];;;;;;;
