Address;RegName;Clk;Rst;Port ; Public ; Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description;INPUT;OUTPUT;INTERRUPT
0x000;PRO_BOOT_REMAP_CTRL_REG;CLK;nReset;;;;[31:1];31'b0;RO;;;;;;;
;;;;;;pro_boot_remap;[0];1'b0;R/W;;;;;;;
0x004;APP_BOOT_REMAP_CTRL_REG;CLK;nReset;;;;[31:1];31'b0;RO;;;;;;;
;;;;;;app_boot_remap;[0];1'b0;R/W;;;;;;;
0x008;DPORT_ACCESS_CHECK;CLK;nReset;;;;[31:9];23'b0;RO;;;;;;;
;;;;;;dport_access_check_app;[8];1'b0;RO;;;;;;;
;;;;;;;[7:1];7'b0;RO;;;;;;;
;;;;;;dport_access_check_pro;[0];1'b0;RO;;;;;;;
0x00C;PRO_DPORT_APB_MASK0;CLK;nReset;;;reg_prodport_apb_mask0;[31:0];32'h0;R/W;;;;;;;
0x010;PRO_DPORT_APB_MASK1;CLK;nReset;;;reg_prodport_apb_mask1;[31:0];32'h0;R/W;;;;;;;
0x014;APP_DPORT_APB_MASK0;CLK;nReset;;;reg_appdport_apb_mask0;[31:0];32'h0;R/W;;;;;;;
0x018;APP_DPORT_APB_MASK1;CLK;nReset;;;reg_appdport_apb_mask1;[31:0];32'h0;R/W;;;;;;;
0x01C;PERI_CLK_EN;CLK;nReset;;;peri_clk_en;[31:0];32'h0;R/W;;;;;;;
0x020;PERI_RST_EN;CLK;nReset;;;peri_rst_en;[31:0];32'h0;R/W;;;;;;;
0x024;WIFI_BB_CFG;CLK;nReset;;;reg_wifi_bb_cfg;[31:0];32'h0;R/W;;;;;;;
0x028;WIFI_BB_CFG_2;CLK;nReset;;;reg_wifi_bb_cfg_2;[31:0];32'h0;R/W;;;;;;;
0x02C;APPCPU_CTRL_REG_A;CLK;nReset;;;;[31:1];31'b0;RO;;;;;;;
;;;;;;reg_appcpu_resetting;[0];1'b1;R/W;;;;;;;
0x030;APPCPU_CTRL_REG_B;CLK;nReset;;;;[31:1];31'b0;RO;;;;;;;
;;;;;;reg_appcpu_clkgate_en;[0];1'b0;R/W;;;;;;;
0x034;APPCPU_CTRL_REG_C;CLK;nReset;;;;[31:1];31'b0;RO;;;;;;;
;;;;;;reg_appcpu_runstall;[0];1'b0;R/W;;;;;;;
0x038;APPCPU_CTRL_REG_D;CLK;nReset;;;reg_appcpu_boot_addr;[31:0];32'h0;R/W;;;;;;;
0x03C;CPU_PER_CONF_REG;CLK;nReset;;;;[31:4];28'h0;RO;;;;;;;
;;;;;;reg_fast_clk_rtc_sel;[3];1'b0;R/W;;;;;;;
;;;;;;reg_lowspeed_clk_sel;[2];1'b0;R/W;;;;;;;
;;;;;;reg_cpuperiod_sel;[1:0];2'b0;R/W;;;;;;;
0x040;PRO_CACHE_CTRL_REG;CLK;nReset;;;;[31:17];15'h0;RO;;;;;;;
;;;;;;pro_dram_hl;[16];1'b0;R/W;;;;;;;
;;;;;;slave_req;[15];1'b0;RO;;;;;;;
;;;;;;ahb_spi_req;[14];1'b0;RO;;;;;;;
;;;;;;pro_slave_req;[13];1'b0;RO;;;;;;;
