 Address ; RegName ; Clk ; Rst ; Port ; Public ; Signal ; BitPos ; Default ; SW(R/W) ; HW(W) ; MCU(W) ; MISC ; Description 
 0x0000 ; FE_TX_GAIN_CTRL  ; pclk ; reset_n ;;;; [31:26] ; 6'h0 ; R/W ;;;;
;;;;;; reg_txgain_addr_base ; [25:18] ; 8'he0 ; R/W ;;;;
;;;;;; reg_force_txgain_addr ; [17:10] ; 8'he0 ; R/W ;;;;
;;;;;; reg_force_dac_gain ; [9:2] ; 8'h10 ; R/W ;;;;
;;;;;; reg_force_txgain_addr_en ; [1] ; 1'h0 ; R/W ;;;;
;;;;;; reg_force_dac_gain_en ; [0] ; 1'h0 ; R/W ;;;;
 0x0004 ; FE_TX_GAIN_CTRL_1 ; pclk ; reset_n ;;;reg_tx_gain_ctrl1 ; [31:0] ; 32'h0 ; R/W ;;;;
 0x0008 ; FE_TX_GAIN_CTRL_2 ; pclk ; reset_n ;;;reg_tx_gain_ctrl2 ; [31:0] ; 32'h0 ; R/W ;;;;
 0x000c ; FE_TX_GAIN_CTRL_3 ; pclk ; reset_n ;;;reg_tx_gain_ctrl3 ; [31:0] ; 32'h0 ; R/W ;;;;
 0x0010 ; FE_TX_GAIN_CTRL_4 ; pclk ; reset_n ;;;reg_tx_gain_ctrl4 ; [31:0] ; 32'h0 ; R/W ;;;;
 0x0030 ; FE_PUBS_CFG0; pclk ; reset_n ;;;reg_rxoff_end ; [31:24] ; 8'h11 ; R/W ;;;;
;;;;;; reg_rxoff_start ; [23:16] ; 8'h10 ; R/W ;;;;
;;;;;; reg_rxon_end ; [15:8] ; 8'h01 ; R/W ;;;;
;;;;;; reg_rxon_start ; [7:0] ; 8'h0 ; R/W ;;;;
 0x0034 ; FE_PUBS_CFG1; pclk ; reset_n ;;;reg_txoff_end ; [31:24] ; 8'h31 ; R/W ;;;;
;;;;;; reg_txoff_start ; [23:16] ; 8'h30 ; R/W ;;;;
;;;;;; reg_txon_end ; [15:8] ; 8'h23 ; R/W ;;;;
;;;;;; reg_txon_start ; [7:0] ; 8'h20 ; R/W ;;;;
 0x0038 ; FE_PUBS_CFG2; pclk ; reset_n ;;;reg_paoff_end ; [31:24] ; 8'h50 ; R/W ;;;;
;;;;;; reg_paoff_start ; [23:16] ; 8'h50 ; R/W ;;;;
;;;;;; reg_paon_end ; [15:8] ; 8'h41 ; R/W ;;;;
;;;;;; reg_paon_start ; [7:0] ; 8'h40 ; R/W ;;;;
 0x003c ; FE_PUBS_CFG3; pclk ; reset_n ;;;reg_rxoff_bt_end ; [31:24] ; 8'h71 ; R/W ;;;;
;;;;;; reg_rxoff_bt_start ; [23:16] ; 8'h70 ; R/W ;;;;
;;;;;; reg_rxon_bt_end ; [15:8] ; 8'h61 ; R/W ;;;;
;;;;;; reg_rxon_bt_start ; [7:0] ; 8'h60 ; R/W ;;;;
 0x0040 ; FE_PUBS_CFG4; pclk ; reset_n ;;;reg_txoff_bt_end ; [31:24] ; 8'h91 ; R/W ;;;;
;;;;;; reg_txoff_bt_start ; [23:16] ; 8'h90 ; R/W ;;;;
;;;;;; reg_txon_bt_end ; [15:8] ; 8'h83 ; R/W ;;;;
;;;;;; reg_txon_bt_start ; [7:0] ; 8'h80 ; R/W ;;;;
 0x0044 ; FE_PUBS_CFG5; pclk ; reset_n ;;;reg_paoff_bt_end ; [31:24] ; 8'hb0 ; R/W ;;;;
;;;;;; reg_paoff_bt_start ; [23:16] ; 8'hb0 ; R/W ;;;;
;;;;;; reg_paon_bt_end ; [15:8] ; 8'ha1 ; R/W ;;;;
;;;;;; reg_paon_bt_start ; [7:0] ; 8'ha0 ; R/W ;;;;
 0x0048 ; FE_PUBS_CFG6; pclk ; reset_n ;;;reg_paoff_delay; [31:24] ; 8'h01 ; R/W ;;;;
;;;;;; reg_txoff_delay ; [23:16] ; 8'h04 ; R/W ;;;;
;;;;;; reg_paon_delay ; [15:8] ; 8'h28 ; R/W ;;;;
;;;;;; reg_txon_delay ; [7:0] ; 8'h08 ; R/W ;;;;
 0x004c ; FE_PUBS_CFG7; pclk ; reset_n ;;;reg_paoff_bt_delay; [31:24] ; 8'h01 ; R/W ;;;;
;;;;;; reg_txoff_bt_delay ; [23:16] ; 8'h04 ; R/W ;;;;
;;;;;; reg_paon_bt_delay ; [15:8] ; 8'h48 ; R/W ;;;;
;;;;;; reg_txon_bt_delay ; [7:0] ; 8'h08 ; R/W ;;;;
 0x0050 ; FE_PUBS_CFG8; pclk ; reset_n ;;;; [31:16] ; 16'h0 ; RO ;;;;
;;;;;; reg_rxon_bt_delay ; [15:8] ; 8'h04 ; R/W ;;;;
;;;;;; reg_rxon_delay ; [7:0] ; 8'h04 ; R/W ;;;;
 0x0060 ; FE_IQ_EST_CTRL_01; pclk ; reset_n ;;;iq_est_ssea_done; [31] ; 1'h0 ; RO ;;;;
;;;;;; iq_est_ssea_overflowa ; [30] ; 1'h0 ; RO ;;;;
;;;;;; iq_est_ssea_overflowm ; [29] ; 1'h0 ; RO ;;;;
;;;;;; reg_iq_est_ctrl_1 ; [28:0] ; 29'h08000000 ; R/W ;;;;
 0x0064 ; FE_IQ_SSEA_CORR1; pclk ; reset_n ;;;iq_est_ssea_corr1; [31:0] ; 32'h0 ; RO ;;;;
 0x0068 ; FE_IQ_SSEA_CORR1_CONJ; pclk ; reset_n ;;;iq_est_ssea_corr1_conj; [31:0] ; 32'h0 ; RO ;;;;
 0x006c ; FE_IQ_SSEA_CORR2; pclk ; reset_n ;;;iq_est_ssea_corr2; [31:0] ; 32'h0 ; RO ;;;;
 0x0070 ; FE_IQ_SSEA_CORR2_CONJ; pclk ; reset_n ;;;iq_est_ssea_corr2_conj; [31:0] ; 32'h0 ; RO ;;;;
 0x0074 ; FE_IQ_SSEA_DC; pclk ; reset_n ;;;iq_est_ssea_dc; [31:0] ; 32'h0 ; RO ;;;;
 0x0078 ; FE_IQ_SSEA_POWER; pclk ; reset_n ;;;iq_est_ssea_power; [31:0] ; 32'h0 ; RO ;;;;
 0x007c ; FE_IQ_EST_CTRL_00; pclk ; reset_n ;;;iq_est_done; [31] ; 1'h0 ; RO ;;;;
;;;;;; reg_iq_est_ctrl_0 ; [30:0] ; 31'h0 ; R/W ;;;;
 0x0080 ; FE_IQ_RESULT1; pclk ; reset_n ;;;iq_est_mult_ii; [31:0] ; 32'h0 ; RO ;;;;
 0x0084 ; FE_IQ_RESULT2; pclk ; reset_n ;;;iq_est_mult_iq; [31:0] ; 32'h0 ; RO ;;;;
 0x0088 ; FE_IQ_RESULT3; pclk ; reset_n ;;;iq_est_mult_qi; [31:0] ; 32'h0 ; RO ;;;;
 0x008c ; FE_IQ_RESULT4; pclk ; reset_n ;;;iq_est_mult_qq; [31:0] ; 32'h0 ; RO ;;;;
 0x0090 ; FE_GEN_CTRL; pclk ; reset_n ;;;; [31:6] ; 26'h0 ; RO ;;;;
;;;;;; reg_iq_est_force_pu ; [5] ; 1'h1 ; R/W ;;;;
;;;;;; reg_iq_est_force_pd ; [4] ; 1'h0 ; R/W ;;;; 
;;;;;; filt_att_1db_en ; [3] ; 1'h0 ; R/W ;;;;
