Address;RegName;Clk;Rst;Port ; Public ; Signal;BitPos;Default;SW(R/W);Comment;HW(W);MCU(W);MISC;Description
0x0000;GPIO_BT_SELECT;CLK;RESET;;;GPIO_BT_SEL;[31:0];x;R/W;;;;;
0x0004;GPIO_OUT;CLK;RESET;;;GPIO_OUT_DATA;[31:0];x;R/W;;;;;
0x0008;GPIO_OUT_W1TS;CLK;RESET;;;GPIO_OUT_DATA;[31:0];x;R/W;Not;;;;
0x000c;GPIO_OUT_W1TC;CLK;RESET;;;GPIO_OUT_DATA;[31:0];x;R/W;Not;;;;
0x0010;GPIO_OUT1;CLK;RESET;;;;[63:40];x;R/W;;;;;
;;;;;;GPIO_OUT_DATA;[39:32];x;R/W;;;;;
0x0014;GPIO_OUT1_W1TS;CLK;RESET;;;;[63:40];;;;;;;
;;;;;;GPIO_OUT_DATA;[39:32];x;R/W;Not;;;;
0x0018;GPIO_OUT1_W1TC;CLK;RESET;;;;[63:40];;;;;;;
;;;;;;GPIO_OUT_DATA;[39:32];x;R/W;Not;;;;
0x001c;GPIO_SDIO_SELECT;CLK;RESET;;;;[31:8];;;;;;;
;;;;;;GPIO_SDIO_SEL;[7:0];x;R/W;;;;;
0x0020;GPIO_ENABLE;CLK;RESET;;;GPIO_ENABLE_DATA;[31:0];x;R/W;;;;;
0x0024;GPIO_ENABLE_W1TS;CLK;RESET;;;GPIO_ENABLE_DATA;[31:0];x;R/W;Not;;;;
0x0028;GPIO_ENABLE_W1TC;CLK;RESET;;;GPIO_ENABLE_DATA;[31:0];x;R/W;Not;;;;
0x002c;GPIO_ENABLE1;CLK;RESET;;;;[63:40];;;;;;;
;;;;;;GPIO_ENABLE_DATA;[39:32];x;R/W;;;;;
0x0030;GPIO_ENABLE1_W1TS;CLK;RESET;;;;[63:40];;;;;;;
;;;;;;GPIO_ENABLE_DATA;[39:32];x;R/W;Not;;;;
0x0034;GPIO_ENABLE1_W1TC;CLK;RESET;;;;[63:40];;;;;;;
;;;;;;GPIO_ENABLE_DATA;[39:32];x;R/W;Not;;;;
0x0038;GPIO_STRAP;CLK;RESET;;;;[31:16];;RO;;;;;
;;;;;;GPIO_STRAPPING;[15:0];;RO;in;;;;
0x003c;GPIO_IN;CLK;RESET;;;GPIO_IN_DATA_next;[31:0];;RO;in;;;;
0x0040;GPIO_IN1;CLK;RESET;;;;[63:40];;RO;;;;;
;;;;;;GPIO_IN_DATA_next;[39:32];;RO;in;;;;
0x0044;GPIO_STATUS;CLK;RESET;;;GPIO_STATUS_INTERRUPT;[31:0];x;R/W;;;;;
0x0048;GPIO_STATUS_W1TS;CLK;RESET;;;GPIO_STATUS_INTERRUPT;[31:0];x;R/W;Not;;;;
0x004c;GPIO_STATUS_W1TC;CLK;RESET;;;GPIO_STATUS_INTERRUPT;[31:0];x;R/W;Not;;;;
0x0050;GPIO_STATUS1;CLK;RESET;;;;[63:40];;;;;;;
;;;;;;GPIO_STATUS_INTERRUPT;[39:32];x;R/W;;;;;
0x0054;GPIO_STATUS1_W1TS;CLK;RESET;;;;[63:40];;;;;;;
;;;;;;GPIO_STATUS_INTERRUPT;[39:32];x;R/W;Not;;;;
0x0058;GPIO_STATUS1_W1TC;CLK;RESET;;;;[63:40];;;;;;;
;;;;;;GPIO_STATUS_INTERRUPT;[39:32];x;R/W;Not;;;;
0x0060;GPIO_ACPU_INT;CLK;RESET;;;GPIO_APPCPU_INT;[31:0];x;RO;;;;;
0x0064;GPIO_ACPU_NMI_INT;CLK;RESET;;;GPIO_APPCPU_NMI_INT;[31:0];x;RO;;;;;
0x0068;GPIO_PCPU_INT;CLK;RESET;;;GPIO_PROCPU_INT;[31:0];x;RO;;;;;
0x006c;GPIO_PCPU_NMI_INT;CLK;RESET;;;GPIO_PROCPU_NMI_INT;[31:0];x;RO;;;;;
0x0070;GPIO_CPUSDIO_INT;CLK;RESET;;;GPIO_SDIO_INT;[31:0];x;RO;;;;;
0x0074;GPIO_ACPU_INT1;CLK;RESET;;;;[63:40];;RO;;;;;
;;;;;;GPIO_APPCPU_INT;[39:32];x;RO;;;;;
0x0078;GPIO_ACPU_NMI_INT1;CLK;RESET;;;;[63:40];;RO;;;;;
;;;;;;GPIO_APPCPU_NMI_INT;[39:32];x;RO;;;;;
0x007c;GPIO_PCPU_INT1;CLK;RESET;;;;[63:40];;RO;;;;;
;;;;;;GPIO_PROCPU_INT;[39:32];x;RO;;;;;
0x0080;GPIO_PCPU_NMI_INT1;CLK;RESET;;;;[63:40];;RO;;;;;
;;;;;;GPIO_PROCPU_NMI_INT;[39:32];x;RO;;;;;
0x0084;GPIO_CPUSDIO_INT1;CLK;RESET;;;;[63:40];;RO;;;;;
;;;;;;GPIO_SDIO_INT;[39:32];x;RO;;;;;
0x0088;GPIO_PIN0;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN0_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN0_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN0_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN0_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN0_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x008c;GPIO_PIN1;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN1_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN1_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN1_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN1_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN1_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x0090;GPIO_PIN2;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN2_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN2_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN2_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN2_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN2_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x0094;GPIO_PIN3;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN3_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN3_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN3_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN3_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN3_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x0098;GPIO_PIN4;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN4_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN4_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN4_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN4_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN4_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x009c;GPIO_PIN5;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN5_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN5_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN5_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN5_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN5_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x00a0;GPIO_PIN6;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN6_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN6_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN6_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN6_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN6_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x00a4;GPIO_PIN7;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN7_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN7_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN7_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN7_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN7_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
0x00a8;GPIO_PIN8;CLK;RESET;;;;[31:18];;;;;;;
;;;;;;GPIO_PIN8_INT_ENA;[17:13];x;R/W;;;;;
;;;;;;GPIO_PIN8_CONFIG;[12:11];x;R/W;;;;;
;;;;;;GPIO_PIN8_WAKEUP_ENABLE;[10];x;R/W;;;;;
;;;;;;GPIO_PIN8_INT_TYPE;[9:7];x;R/W;;;;;
;;;;;;;[6:3];;;;;;;
;;;;;;GPIO_PIN8_PAD_DRIVER;[2];x;R/W;;;;;
;;;;;;;[1:0];;;;;;;
