Address;RegName;Clk;Rst;Port;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
0x0000;MACCON_TIME;pclk;reset_n;;contimer;[31:0];32'h0;RO;;;;0x1000
0x0004;MACEMAC_TIMER_NS;pclk;reset_n;;emactimer_ns;[31:0];32'h0;RO;;;;
0x0008;MACEMAC_TIMER_S;pclk;reset_n;;emactimer_s;[31:0];32'h0;RO;;;;
0x000C;MACCON_TIME_SW;pclk;reset_n;;reg_contimer_sw;[31:0];32'h0;R/W;;;;
0x0010;MACTSF_TIME_FZ;pclk;reset_n;;;[31:11];21'h0;RO;;;;
;;;;;reg_consw_wr;[10];1'h0;WO;;;;
;;;;;reg_tsf3sw_wr;[9];1'h0;WO;;;;
;;;;;reg_tsf2sw_wr;[8];1'h0;WO;;;;
;;;;;reg_tsf1sw_wr;[7];1'h0;WO;;;;
;;;;;reg_tsf0sw_wr;[6];1'h0;WO;;;;
;;;;;reg_emactime_fz;[5];1'h0;R/W;;;;
;;;;;reg_contime_fz;[4];1'h0;R/W;;;;
;;;;;reg_tsf3time_fz;[3];1'h0;R/W;;;;
;;;;;reg_tsf2time_fz;[2];1'h0;R/W;;;;
;;;;;reg_tsf1time_fz;[1];1'h0;R/W;;;;
;;;;;reg_tsf0time_fz;[0];1'h0;R/W;;;;
0x0014;MACTSF0_TIME_LO;pclk;reset_n;;tsftime0_lo;[31:0];32'h0;RO;;;;
0x0018;MACTSF0_TIME_HI;pclk;reset_n;;tsftime0_hi;[31:0];32'h0;RO;;;;
0x001C;MACSLEEP_ST;pclk;reset_n;;;[31:25];7'h0;RO;;;;
;;;;;reg_con_upbyrtc;[24];1'h1;R/W;;;;
;;;;;reg_pwr_us_fix;[23];1'h0;R/W;;;;
;;;;;reg_digclk_div;[22:16];7'd78;R/W;;;;
;;;;;reg_wakeup_early;[15:0];16'h1ff;R/W;;;;
0x0020;MACSLEEP0_CONF;pclk;reset_n;;reg_tsfup0_ena;[31];1'h1;R/W;;;;
;;;;;reg_txbeacon0_ena;[30];1'h0;R/W;;;;
;;;;;reg_wakeup0_ena;[29];1'h1;R/W;;;;
;;;;;reg_tsf0rtcup_ena;[28];1'h1;R/W;;;;
;;;;;reg_tsf0hwup_ena;[27];1'h0;R/W;;;;
;;;;;reg_wakeup_target0_valid;[26];1'h0;R/W;;;;
;;;;;reg_beacon_target0_valid;[25];1'h0;R/W;;;;
;;;;;reg_beacon_target0_upbytsf;[24];1'h1;R/W;;;;
;;;; Not;reg_pwrclk_en;[23];1'b0;R/W;;;;
;;;;;;[22:0];23'h0;RO;;;;
0x0024;MACTSFSW0_LO;pclk;reset_n;;reg_tsfupsw0_lo;[31:0];32'h0;R/W;;;IO=O,hwr_mactsfsw0_lo;
0x0028;MACTSFSW0_HI;pclk;reset_n;;reg_tsfupsw0_hi;[31:0];32'h0;R/W;;;IO=O,hwr_mactsfsw0_hi;
0x002C;MACTBTTTAR0_LO;pclk;reset_n;;reg_tbttstart_target0_lo;[31:0];32'h0;R/W;;;IO=O,hwr_mactbtttar0_lo;
0x0030;MACTBTTTAR0_HI;pclk;reset_n;;reg_tbttstart_target0_hi;[31:0];32'h0;R/W;;;IO=O,hwr_mactbtttar0_hi;
0x0034;MACWAKETAR0_LO;pclk;reset_n;;reg_wakeup_target0_lo;[31:0];32'h0;R/W;;;;unit:us
