Address;RegName;Clk;Rst;Port;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
0x0000;MACTXIMR2_PLCP1;pclk;reset_n;;;[31:30];2'h0;RO;;;;
;;;;;reg_tximr2_force_dup;[29];1'h0;R/W;;;;
;;;;;reg_tximr2_force_ht40;[28];1'h0;R/W;;;;
;;;;;reg_tximr2_duplicate;[27];1'h0;R/W;;;;
;;;;;reg_tximr2_sigmode;[26:25];2'h0;R/W;;;;
;;;;;reg_tximr2_kid;[24:17];8'h0;R/W;;;;
;;;;;reg_tximr2_rate;[16:12];5'h0;R/W;;;;
;;;;;reg_tximr2_length;[11:0];12'h0;R/W;;;;
0x0004;MACTXIMR2_PLCP2;pclk;reset_n;;;[31:6];26'h0;RO;;;;
;;;;;reg_tximr2_ant_force;[5];1'h0;R/W;;;;
;;;;;reg_tximr2_ant_force_value;[4];1'h0;R/W;;;;
;;;;;reg_tximr2_ant_force_last;[3];1'h0;R/W;;;;
;;;;;reg_txrximr2_ant_force;[2];1'h0;R/W;;;;
;;;;;reg_txrximr2_ant_force_value;[1];1'h0;R/W;;;;
;;;;;reg_txrximr2_ant_force_last;[0];1'h0;R/W;;;;
0x0008;MACTXIMR2_HTSIG;pclk;reset_n;;reg_tximr2_htsig;[31:0];32'h0;R/W;;;;
0x000C;MACTXIMR2_HT40LEN;pclk;reset_n;;;[31:30];2'h0;RO;;;;
;;;;;reg_tximr2_txop_sel;[29:28];2'h0;R/W;;;;
;;;;;reg_tximr2_ht40txop_num;[27:24];4'h0;R/W;;;;
;;;;;reg_tximr2_20txop_num;[23:20];4'h0;R/W;;;;
;;;;;reg_tximr2_ht40eof_num;[19:18];2'h1;R/W;;;;
;;;;;reg_tximr2_20eof_num;[17:16];2'h1;R/W;;;;
;;;;;reg_tximr2_ht40len;[15:0];16'h0;R/W;;;;
0x0010;MACTXIMR2_DUR;pclk;reset_n;;reg_tximr2_20dur;[31:16];16'h0;R/W;;;;
;;;;;reg_tximr2_ht40dur;[15:0];16'h0;R/W;;;;
0x0014;MACTXIMR2_ENATO;pclk;reset_n;;;[31:12];20'h0;RO;;;;
;;;;;curr_tximr2_seqnum;[11:0];12'h0;RO;;;;
0x0018;MACTXIMR2PMD;pclk;reset_n;;;[31:30];2'h0;RO;;;;
;;;;;tximr2complete_num;[29:26];4'h0;RO;;;;
;;;;;tximr2_is_40m;[25];1'h0;RO;;;;
;;;;;tximr2_txop_rssi_valid;[24];1'h0;RO;;;;
;;;;;tximr2_txop_rssi;[23:16];8'h0;RO;;;;
;;;;;tximr2complete_state;[15:12];4'h0;RO;;;;
;;;;;tximr2complete_st_match;[11:8];4'h0;RO;;;;
;;;;;tximr2complete_errcode;[7:0];8'h0;RO;;;;
0x001C;MACTXIMR2BA_BMHI;pclk;reset_n;;tximr2ba_bmhi;[31:0];32'h0;RO;;;;RX BLOCKACK OP
0x0020;MACTXIMR2BA_BMLO;pclk;reset_n;;tximr2ba_bmlo;[31:0];32'h0;RO;;;;
0x0024;MACTXIMR2BA_TAHI;pclk;reset_n;;;[31:16];16'h0;RO;;;;
;;;;;tximr2ba_tahi;[15:0];16'h0;RO;;;;
0x0028;MACTXIMR2BA_TALO;pclk;reset_n;;tximr2ba_talo;[31:0];32'h0;RO;;;;
0x002C;MACTXIMR2BA_SSN;pclk;reset_n;;;[31:16];16'h0;RO;;;;
;;;;;tximr2ba_tid;[15:12];4'h0;RO;;;;
;;;;;tximr2ba_ssn;[11:0];12'h0;RO;;;;
0x0030;MACTXIMR2_TXSTART_US;pclk;reset_n;;tximr2_txstart_us;[31:0];32'h0;RO;;;;
0x0034;MACTXIMR2_TXSTART_CYC;pclk;reset_n;;;[31:7];25'h0;RO;;;;
;;;;;tximr2_txstart_cycle;[6:0];7'h0;RO;;;;
0x0038;MACTXIMR2_TXRXACK_CYC;pclk;reset_n;;;[31:26];6'h0;RO;;;;
;;;;;tximr2_txrxack_cycdec;[25:15];11'h0;RO;;;;
;;;;;tximr2_txrxack_us;[14:7];8'h0;RO;;;;
;;;;;tximr2_txrxack_cycle;[6:0];7'h0;RO;;;;
0x003C;MACTXIMR1_PLCP1;pclk;reset_n;;;[31:30];2'h0;RO;;;;
;;;;;reg_tximr1_force_dup;[29];1'h0;R/W;;;;
;;;;;reg_tximr1_force_ht40;[28];1'h0;R/W;;;;
;;;;;reg_tximr1_duplicate;[27];1'h0;R/W;;;;
;;;;;reg_tximr1_sigmode;[26:25];2'h0;R/W;;;;
;;;;;reg_tximr1_kid;[24:17];8'h0;R/W;;;;
;;;;;reg_tximr1_rate;[16:12];5'h0;R/W;;;;
;;;;;reg_tximr1_length;[11:0];12'h0;R/W;;;;
0x0040;MACTXIMR1_PLCP2;pclk;reset_n;;;[31:6];26'h0;RO;;;;
;;;;;reg_tximr1_ant_force;[5];1'h0;R/W;;;;
;;;;;reg_tximr1_ant_force_value;[4];1'h0;R/W;;;;
;;;;;reg_tximr1_ant_force_last;[3];1'h0;R/W;;;;
;;;;;reg_txrximr1_ant_force;[2];1'h0;R/W;;;;
;;;;;reg_txrximr1_ant_force_value;[1];1'h0;R/W;;;;
;;;;;reg_txrximr1_ant_force_last;[0];1'h0;R/W;;;;
0x0044;MACTXIMR1_HTSIG;pclk;reset_n;;reg_tximr1_htsig;[31:0];32'h0;R/W;;;;
0x0048;MACTXIMR1_HT40LEN;pclk;reset_n;;;[31:30];2'h0;RO;;;;
;;;;;reg_tximr1_txop_sel;[29:28];2'h0;R/W;;;;
;;;;;reg_tximr1_ht40txop_num;[27:24];4'h0;R/W;;;;
;;;;;reg_tximr1_20txop_num;[23:20];4'h0;R/W;;;;
;;;;;reg_tximr1_ht40eof_num;[19:18];2'h1;R/W;;;;
;;;;;reg_tximr1_20eof_num;[17:16];2'h1;R/W;;;;
;;;;;reg_tximr1_ht40len;[15:0];16'h0;R/W;;;;
0x004C;MACTXIMR1_DUR;pclk;reset_n;;reg_tximr1_20dur;[31:16];16'h0;R/W;;;;
;;;;;reg_tximr1_ht40dur;[15:0];16'h0;R/W;;;;
0x0050;MACTXIMR1_ENATO;pclk;reset_n;;;[31:12];20'h0;RO;;;;
;;;;;curr_tximr1_seqnum;[11:0];12'h0;RO;;;;
0x0054;MACTXIMR1PMD;pclk;reset_n;;;[31:30];2'h0;RO;;;;
;;;;;tximr1complete_num;[29:26];4'h0;RO;;;;
;;;;;tximr1_is_40m;[25];1'h0;RO;;;;
;;;;;tximr1_txop_rssi_valid;[24];1'h0;RO;;;;
;;;;;tximr1_txop_rssi;[23:16];8'h0;RO;;;;
;;;;;tximr1complete_state;[15:12];4'h0;RO;;;;
;;;;;tximr1complete_st_match;[11:8];4'h0;RO;;;;
;;;;;tximr1complete_errcode;[7:0];8'h0;RO;;;;
0x0058;MACTXIMR1BA_BMHI;pclk;reset_n;;tximr1ba_bmhi;[31:0];32'h0;RO;;;;RX BLOCKACK OP
0x005C;MACTXIMR1BA_BMLO;pclk;reset_n;;tximr1ba_bmlo;[31:0];32'h0;RO;;;;
0x0060;MACTXIMR1BA_TAHI;pclk;reset_n;;;[31:16];16'h0;RO;;;;
;;;;;tximr1ba_tahi;[15:0];16'h0;RO;;;;
0x0064;MACTXIMR1BA_TALO;pclk;reset_n;;tximr1ba_talo;[31:0];32'h0;RO;;;;
0x0068;MACTXIMR1BA_SSN;pclk;reset_n;;;[31:16];16'h0;RO;;;;
;;;;;tximr1ba_tid;[15:12];4'h0;RO;;;;
