Address;RegName;Clk;Rst;Port ; Public ; Signal;BitPos;Default;SW(R/W);Comment;HW(W);MCU(W);MISC;Description;;;;
0x0000;RTC_OPTIONS0;dig_clk_rtc_gated;rst_rtc_n;;;sw_sys_rst;[31];1'd0;WO;;;;CLK = dig_clk_rtc;;;;;
;;;;;;reg_dg_wrap_force_norst;[30];1'd0;R/W;;;;;;;;;
;;;;;;reg_dg_wrap_force_rst;[29];1'd0;R/W;;;;;;;;;
;;;;;;reg_analog_force_noiso;[28];1'd1;R/W;;;;;;;;;
;;;;;;reg_pll_force_noiso;[27];1'd1;R/W;;;;;;;;;
;;;;;;reg_xtl_force_noiso;[26];1'd1;R/W;;;;;;;;;
;;;;;;reg_analog_force_iso;[25];1'd0;R/W;;;;;;;;;
;;;;;;reg_pll_force_iso;[24];1'd0;R/W;;;;;;;;;
;;;;;;reg_xtl_force_iso;[23];1'd0;R/W;;;;;;;;;
;;;;;;reg_bias_core_force_pu;[22];1'd1;R/W;;;;;;;;;
;;;;;;reg_bias_core_force_pd;[21];1'b0;R/W;;;;;;;;;
;;;;;;reg_bias_core_folw_12m;[20];1'd0;R/W;;;;;;;;;
;;;;;;reg_bias_i2c_force_pu;[19];1'd1;R/W;;;;;;;;;
;;;;;;reg_bias_i2c_force_pd;[18];1'b0;R/W;;;;;;;;;
;;;;;;reg_bias_i2c_folw_12m;[17];1'd0;R/W;;;;;;;;;
;;;;;;reg_bias_force_nosleep;[16];1'd1;R/W;;;;;;;;;
;;;;;;reg_bias_force_sleep;[15];1'b0;R/W;;;;;;;;;
;;;;;;reg_bias_sleep_folw_12m;[14];1'b0;R/W;;;;;;;;;
;;;;;;reg_xtl_force_pu;[13];1'd1;R/W;;;;;;;;;
;;;;;;reg_xtl_force_pd;[12];1'b0;R/W;;;;;;;;;
;;;;;;reg_bbpll_force_pu;[11];1'd0;R/W;;;;;;;;;
;;;;;;reg_bbpll_force_pd;[10];1'b0;R/W;;;;;;;;;
;;;;;;reg_bbpll_i2c_force_pu;[9];1'd0;R/W;;;;;;;;;
;;;;;;reg_bbpll_i2c_force_pd;[8];1'b0;R/W;;;;;;;;;
;;;;;;reg_bb_i2c_force_pu;[7];1'd0;R/W;;;;;;;;;
;;;;;;reg_bb_i2c_force_pd;[6];1'b0;R/W;;;;;;;;;
;;;;;;sw_procpu_rst;[5];1'b0;WO;;;;;;;;;
;;;;;;sw_appcpu_rst;[4];1'b0;WO;;;;;;;;;
;;;;;;reg_sw_stall_procpu_c0;[3:2];2'b0;R/W;;;;;code: 0x86 will stall cpu;;;;
;;;;;;reg_sw_stall_appcpu_c0;[1:0];2'b0;R/W;;;;;code: 0x86 will stall cpu;;;;
0x0001;RTC_SLP_TIMER0;dig_clk_rtc_gated;rst_rtc_n;;;reg_slp_val_lo;[31:0];32'h0;R/W;;;;IO = O,hwr_rtc_slp_timer0;;;;;
0x0002;RTC_SLP_TIMER1;dig_clk_rtc_gated;rst_rtc_n;;;;[31:17];;;;;;IO = O,hwr_rtc_slp_timer1;;;;;
;;;;;;reg_rtc_main_timer_alarm_en;[16];1'h0;R/W;;;;;;;;;
;;;;;;reg_slp_val_hi;[15:0];16'h0;R/W;;;;;;;;;
0x0003;RTC_TIME_UPDATE;dig_clk_rtc_gated;rst_rtc_n;;;rtc_time_update;[31];1'h0;WO;;;;;;;;;
;;;;;;rtc_time_valid;[30];1'b0;RO;;;;;;;;;
;;;;;;;[29:0];;;;;;;;;;;
0x0004;RTC_TIME0;dig_clk_rtc_gated;rst_rtc_n;;;rtc_time_lo;[31:0];32'h0;RO;;;;;;;;;
0x0005;RTC_TIME1;dig_clk_rtc_gated;rst_rtc_n;;;;[31:16];;;;;;;;;;;
;;;;;;rtc_time_hi;[15:0];16'h0;RO;;;;;;;;;
0x0006;RTC_STATE0;dig_clk_rtc;rst_rtc_n;;;reg_sleep_en;[31];1'd0;R/W;;sleep_accept_ind/1'd0,sleep_reject_ind/1'd0;;CLK = dig_clk_rtc;;;;;
;;;;;;slp_reject;[30];1'd0;R/W;;rtc_wakeup/1'd0,rtc_sleep_reject/1'd1;;CLK = dig_clk_rtc;;;;;
;;;;;;slp_wakeup;[29];1'd0;R/W;;rtc_wakeup/1'd1,rtc_sleep_reject/1'd0;;CLK = dig_clk_rtc;;;;;
;;;;;;sdio_active_ind;[28];1'd0;RO;;;;;;;;;
;;;;;;;[27:25];;;;;;;;;;;
;;;;;;reg_sar_slp_timer_en;[24];1'd0;R/W;;;;;;;;;
;;;;;;reg_touch_slp_timer_en;[23];1'd0;R/W;;;;;;;;;
;;;;;;reg_apb2rtc_bridge_sel;[22];1'd0;R/W;;;;;;;;;
;;;;;;reg_sar_wakeup_force_en;[21];1'd1;R/W;;;;;;;;;
;;;;;;reg_touch_wakeup_force_en;[20];1'd1;R/W;;;;;;;;;
;;;;;;;[19:0];;;;;;;;;;;
0x0007;RTC_TIMER1;dig_clk_rtc_gated;rst_rtc_n;;;pll_buf_wait;[31:24];8'd40;R/W;;;;;;;;;
;;;;;;xtl_buf_wait;[23:14];10'd80;R/W;;;;;;;;;
;;;;;;reg_ck12m_wait;[13:6];8'h10;R/W;;;;;;;;;
;;;;;;reg_cpu_stall_wait;[5:1];5'd1;R/W;;;;;;;;;
;;;;;;reg_cpu_stall_en;[0];1'd1;R/W;;;;;;;;;
0x0008;RTC_TIMER2;dig_clk_rtc_gated;rst_rtc_n;;;reg_min_time_ck12m_off;[31:24];8'h1;R/W;;;;;;;;;
;;;;;;reg_sar_touch_start_wait;[23:15];9'h10;R/W;;;;;;;;;
;;;;;;;[14:0];;;;;;;;;;;
0x0009;RTC_TIMER3;dig_clk_rtc_gated;rst_rtc_n;;;reg_rom_ram_powerup_timer;[31:25];7'd10;R/W;;;;;;;;;
;;;;;;reg_rom_ram_wait_timer;[24:16];9'h16;R/W;;;;;;;;;
;;;;;;reg_wifi_powerup_timer;[15:9];7'h5;R/W;;;;;;;;;
;;;;;;reg_wifi_wait_timer;[8:0];9'h8;R/W;;;;;;;;;
0x000a;RTC_TIMER4;dig_clk_rtc_gated;rst_rtc_n;;;reg_dg_wrap_powerup_timer;[31:25];7'h8;R/W;;;;;;;;;
;;;;;;reg_dg_wrap_wait_timer;[24:16];9'h20;R/W;;;;;;;;;
;;;;;;reg_rtc_powerup_timer;[15:9];7'h5;R/W;;;;;;;;;
;;;;;;reg_rtc_wait_timer;[8:0];9'h8;R/W;;;;;;;;;
0x000b;RTC_TIMER5;dig_clk_rtc_gated;rst_rtc_n;;;reg_rtcmem_powerup_timer;[31:25];7'h9;R/W;;;;;;;;;
;;;;;;reg_rtcmem_wait_timer;[24:16];9'h14;R/W;;;;;;;;;
;;;;;;reg_min_slp_val;[15:8];8'h80;R/W;;;;;;;;;
;;;;;;reg_sar_subtimer_prediv;[7:0];8'd1;R/W;;;;;;;;;
0x000c;RTC_ANA_CONF;dig_clk_rtc_gated;rst_rtc_n;;;reg_pll_i2c_pu;[31];1'd0;R/W;;;;;;;;;
;;;;;;reg_ckgen_i2c_pu;[30];1'd0;R/W;;;;;;;;;
;;;;;;;[29];;;;;;;;;;;
;;;;;;reg_rfrx_pbus_pu;[28];1'd0;R/W;;;;;;;;;
;;;;;;reg_txrf_i2c_pu;[27];1'd0;R/W;;;;;;;;;
;;;;;;reg_pvtmon_pu;[26];1'b0;R/W;;;;;;;;;
;;;;;;reg_bbpll_cal_slp_start;[25];1'b0;R/W;;;;;;;;;
;;;;;;reg_plla_force_pu;[24];1'b0;R/W;;;;;;;;;
;;;;;;reg_plla_force_pd;[23];1'b1;R/W;;;;;;;;;
;;;;;;;[22:0];;;;;;;;;;;
0x000d;RTC_RESET_STATE;dig_clk_rtc_gated;rst_rtc_n;;;;[31:14];;;;;;;;;;;
;;;;;;procpu_stat_vector_sel;[13];1'b1;R/W;;;;;;;;;
;;;;;;appcpu_stat_vector_sel;[12];1'b1;R/W;;;;;;;;;
;;;;;;reset_cause_appcpu;[11:6];0;RO;;;;;;;;;
;;;;;;reset_cause_procpu;[5:0];0;RO;;;;;;;;;
0x000e;RTC_WAKEUP_STATE;dig_clk_rtc_gated;rst_rtc_n;;;;[31:23];;;;;;;;;;;
