 Address ; RegName ; Clk ; Rst ; Port ; Public ; Signal ; BitPos ; Default ; SW(R/W) ; HW(W) ; MCU(W) ; MISC ; Description 
 0x0000 ; SAR_READ_CTRL; pclk ; reset_n ;;;; [31:29] ; 3'h0 ; RO ;;;;
;;;;;; reg_sar1_data_inv ; [28] ; 1'd0 ; R/W ;;;;
;;;;;; reg_sar1_dig_force ; [27] ; 1'd0 ; R/W ;;;;
;;;;;; reg_sar1_sample_num ; [26:19] ; 8'd0 ; R/W ;;;;
;;;;;; reg_sar1_clk_gated ; [18] ; 1'b1 ; R/W ;;;;
;;;;;; reg_sar1_sample_bit ; [17:16] ; 2'd3 ; R/W ;;;;
;;;;;; reg_sar1_sample_cycle ; [15:8] ; 8'd9 ; R/W ;;;;
;;;;;; reg_sar1_clk_div ; [7:0] ; 8'd2 ; R/W ;;;;
 0x0004 ; SAR_READ_STATUS1; pclk ; reset_n ;;; sar1_reader_status ; [31:0] ; 32'h0 ; RO ;;;;
 0x0008 ; SAR_MEAS_WAIT1; pclk ; reset_n ;;; reg_sar_amp_wait2 ; [31:16] ; 16'd10 ; R/W ;;;;
;;;;;; reg_sar_amp_wait1 ; [15:0] ; 16'd10 ; R/W ;;;;
 0x000c ; SAR_MEAS_WAIT2; pclk ; reset_n ;;;; [31:28] ; 4'h0 ; RO ;;;;
;;;;;; reg_sar2_rstb_wait ; [27:20] ; 8'd2 ; R/W ;;;;
;;;;;; reg_force_xpd_sar ; [19:18] ; 2'd0 ; R/W ;;;;
;;;;;; reg_force_xpd_amp ; [17:16] ; 2'd0 ; R/W ;;;;
;;;;;; reg_sar_amp_wait3 ; [15:0] ; 16'd10 ; R/W ;;;;
 0x0010 ; SAR_MEAS_CTRL; pclk ; reset_n ;;; reg_sar2_xpd_wait; [31:24] ; 8'h7 ; R/W ;;;;
;;;;;; reg_sar_rstb_fsm ; [23:20] ; 4'b0000 ; R/W ;;;;
;;;;;; reg_xpd_sar_fsm ; [19:16] ; 4'b0111 ; R/W ;;;;
;;;;;; reg_amp_short_ref_gnd_fsm ; [15:12] ; 4'b0011 ; R/W ;;;;
;;;;;; reg_amp_short_ref_fsm ; [11:8] ; 4'b0011 ; R/W ;;;;
