Address;RegName;Clk;Rst;Port;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
0x0000;MACGPO;pclk;reset_n;;reg_macgpo;[31:0];32'h0;R/W;;;;MAC gpio to control others
0x0004;MACNAV;pclk;reset_n;;;[31];1'h0;RO;;;;
;;;;;reg_navenable;[30];1'h0;R/W;nav_enable_clr/1'b0,nav_enable_set/1'b1;;;
;;;;;;[29:16];14'h0;RO;;;;
;;;;;reg_nav;[15:0];16'h0;R/W;;;IO=O,hwr_macnav;
0x0008;MACNAVTARGET;pclk;reset_n;;reg_navtarget;[31:0];32'h0;RO;;;;equal = reg_navstart + reg_nav
0x000C;MACNAVSTART;pclk;reset_n;;reg_navstart;[31:0];32'h0;RO;;;;latch teg_mactime when rxend_int
0x0010;MACBBRXHUNG;pclk;reset_n;;reg_bbrxhung_ena;[31];1'h1;R/W;;;;enable recover from BB hung state
;;;;;reg_nosuportrate_option;[30];1'h1;R/W;;;;
;;;;;;[29:12];18'h0;RO;;;;
;;;;;reg_bbrxhung_time;[11:0];12'hf0;R/W;;;;2^4us
0x0014;MACBBTXHUNG;pclk;reset_n;;reg_bbtxhung_ena;[31];1'h1;R/W;;;;enable recover from BB hung state
;;;;;;[30:12];19'h0;RO;;;;
;;;;;reg_bbtxhung_time;[11:0];12'hf0;R/W;;;;
0x0018;MACBBCCAHUNG;pclk;reset_n;;reg_bbccahung_ena;[31];1'h1;R/W;;;;
;;;;;;[30:12];19'h0;RO;;;;
;;;;;reg_bbccahung_time;[11:0];12'hf0;R/W;;;;
0x001C;INT1_NMI_MAC;pclk;reset_n;;;[31:10];22'h0;RO;;;;
;;;;Not;txto_int_nmi;[9];1'h0;R/W;;;;
;;;;Not;txend_data_int_nmi;[8];1'h0;R/W;;;;
;;;;Not;txend_cts_int_nmi;[7];1'h0;R/W;;;;
;;;;Not;txend_rts_int_nmi;[6];1'h0;R/W;;;;
;;;;Not;rxend_txack_int_nmi;[5];1'h0;R/W;;;;
;;;;Not;rxend_txcts_int_nmi;[4];1'h0;R/W;;;;
;;;;Not;rxend_data_int_nmi;[3];1'h0;R/W;;;;
;;;;Not;rxsuc_int_nmi;[2];1'h0;R/W;;;;
;;;;Not;imrto_int_nmi;[1];1'h0;R/W;;;;
;;;;Not;rxto_int_nmi;[0];1'h0;R/W;;;;
0x0020;INT1_ENA_MAC;pclk;reset_n;;;[31:10];22'h0;RO;;;;
