 Address ; RegName ; Clk ; Rst ; Port ; Public ; Signal ; BitPos ; Default ; SW(R/W) ; HW(W) ; MCU(W) ; MISC ; Description 
 0x0000 ; AGCDC_CTRL1 ; pclk ; reset_n ;;;; [31:23] ; 9'h0 ; RO ;;;;
;;;;;; bb_dc_int_index ; [22:16] ; 7'h0 ; RO ;;;;
;;;;;; reg_dc_int_chk_en ; [15] ; 1'h0 ; R/W ;;;;
;;;;;; reg_dc_int_chk_thr ; [14:6] ; 9'h20 ; R/W ;;;;
;;;;;; reg_dc_cte_prot_dot8_en ; [5] ; 1'h1 ; R/W ;;;;
;;;;;; reg_dc_merge_mult ; [4:2] ; 3'h1 ; R/W ;;;;
;;;;;; reg_dc_merge_shr ; [1:0] ; 2'h2 ; R/W ;;;;
 0x0004 ; AGCDC_CTRL2 ; pclk ; reset_n ;;;reg_coarse_use_memdc; [31] ; 1'h0 ; R/W ;;;;
;;;;;; reg_fine_use_memdc ; [30] ; 1'h0 ; R/W ;;;;
;;;;;; reg_store_dc_merge ; [29] ; 1'h1 ; R/W ;;;;
;;;;;; reg_agc_dcmem_upd_en ; [28] ; 1'h1 ; R/W ;;;;
;;;;;; reg_ht2040_dcmem_en ; [27] ; 1'h1 ; R/W ;;;;
;;;;;; reg_dc_mode_ht40 ; [26:25] ; 2'h2 ; R/W ;;;;
;;;;;; reg_modem_dc_fine_en ; [24] ; 1'h0 ; R/W ;;;;
;;;;;; reg_modem_dc_fine_est_en ; [23] ; 1'h1 ; R/W ;;;;
;;;;;;  ; [22] ; 1'h0 ; RO ;;;;
;;;;;; reg_dc_fine_max_loop ; [21:19] ; 3'h6 ; R/W ;;;;
;;;;;; reg_dc_coarse_force_mode ; [18:17] ; 2'h2 ; R/W ;;;;
;;;;;; reg_use_dc_mem_en ; [16] ; 1'h1 ; R/W ;;;;
;;;;;; reg_dc_init_i ; [15:8] ; 8'h0 ; R/W ;;;;
;;;;;; reg_dc_init_q ; [7:0] ; 8'h0 ; R/W ;;;;
 0x0008 ; AGCOFDM_CTRL1 ; pclk ; reset_n ;;;reg_agc_ocorr_thr2_2 ; [31:24] ; 8'h88 ; R/W ;;;;
;;;;;; reg_agc_ocorr_thr2 ; [23:16] ; 8'h9d ; R/W ;;;;
;;;;;; reg_agc_ocorr_thr1_2 ; [15:8] ; 8'hb4 ; R/W ;;;;
;;;;;; reg_agc_ocorr_thr1 ; [7:0] ; 8'hb8 ; R/W ;;;;
 0x000c ; AGCOFDM_CTRL2 ; pclk ; reset_n ;;;; [31] ; 1'h0 ; RO ;;;;
;;;;;; reg_pwr_valid_cnt_init_2 ; [30:27] ; 4'h6 ; R/W ;;;;
;;;;;; reg_pwr_inband_thr ; [26:21] ; 6'h33 ; R/W ;;;;
;;;;;; reg_corr_det_thr_2 ; [20:15] ; 6'h2c ; R/W ;;;;
;;;;;; reg_pwr_valid_cnt_init ; [14:11] ; 4'h5 ; R/W ;;;;
;;;;;; reg_corr_det_thr ; [10:6] ; 5'h18 ; R/W ;;;;
;;;;;; reg_corr_det_cnt_max ; [5:0] ; 6'h1f ; R/W ;;;;
 0x0010 ; AGCOFDM_CTRL3 ; pclk ; reset_n ;;; reg_ocorr_gt_noise_thr_1 ; [31:23] ; 9'hc ; R/W ;;;;
;;;;;; reg_pwr_fir_gt_thr ; [22:13] ; 10'h290 ; R/W ;;;;
;;;;;; reg_pwr_fir_surge_thr ; [12:6] ; 7'h04 ; R/W ;;;;
;;;;;; reg_pwr_inband_surge_thr ; [5:0] ; 6'h3b ; R/W ;;;;
 0x0014 ; AGCOFDM_CTRL4 ; pclk ; reset_n ;;;reg_ocorr_gt_noise_thr_2 ; [31:23] ; 9'h2 ; R/W ;;;;
