 Address ; RegName ; Clk ; Rst ; Port ; Public ; Signal ; BitPos ; Default ; SW(R/W) ; HW(W) ; MCU(W) ; MISC ; Description 
0x0000; BB_CTRL0; pclk; reset_n;;;; [31:27]; 5'h0; RO;;;;
;;;;;; reg_fft_clk_opt; [26:21]; 6'h3f; R/W;;;;
;;;;;; reg_dac_on_wait; [20:11]; 10'd32; R/W;;;;
;;;;;; reg_bb_mac_inf_path; [10] ; 1'h0; R/W;;;;
;;;;;; ; [9] ; 1'h0; RO;;;;
;;;;;; reg_rxcov_force_clk; [8]; 1'h0; R/W;;;;
;;;;;; reg_rxcov_ht40_force_clk; [7]; 1'h0; R/W;;;;
;;;;;; reg_ht20_cen_bcov_en; [6]; 1'h0; R/W;;;;
;;;;;; reg_tx_top_clk_force_on; [5:3]; 3'h0; R/W;;;;
;;;;;; reg_fft_out_force_clk; [2]; 1'h0; R/W;;;;
;;;;;; reg_fft_force_clk; [1]; 1'h0; R/W;;;;
;;;;;; reg_ht40_bcov_en; [0]; 1'h1; R/W;;;;
 0x0004; BB_DIAG0; pclk; reset_n;;; diag_hung_int; [31]; 1'h0; RO;;;;
;;;;;; reg_diag_mode_sel; [30]; 1'h0; R/W;;;;
;;;;;; reg_diag_hung_int_clr; [29]; 1'h0; R/W;;;;
;;;;;; reg_diag_hung_int_en; [28]; 1'h1; R/W;;;;
;;;;;; reg_diag_hung_cnt; [27:12]; 16'h400; R/W;;;;
;;;;;; reg_diag_st; [11:8]; 4'h1; R/W;;;;
;;;;;; reg_diag_sel_1; [7:4]; 4'h7; R/W;;;;
;;;;;; reg_diag_sel_0; [3:0]; 4'h0; R/W;;;;
 0x0008; BB_NRXRD1 ; pclk ; reset_n ;;;bb_status; [31:0] ; 32'h0 ; RO ;;;;
 0x000c ; DC_CTRL_0 ; pclk ; reset_n ;;;; [31:21] ; 11'h0 ; RO ;;;;
;;;;;; reg_dmd_in_80m_en ; [20] ; 1'h1 ; R/W ;;;;
;;;;;; reg_dc_shift_find_max ; [19:17] ; 3'h7 ; R/W ;;;;
;;;;;; reg_dc_cnt_init ; [16:13] ; 4'h6 ; R/W ;;;;
;;;;;; reg_dc_shift_max ; [12:10] ; 3'h4 ; R/W ;;;;
;;;;;; reg_dc_rm_en ; [9] ; 1'h1 ; R/W ;;;;
;;;;;; reg_dc_max ; [8:0] ; 9'h1ff ; R/W ;;;;
 0x0010 ; TONE_CTRL_0 ; pclk ; reset_n ;;;reg_fft_htltf_stop_en; [31] ; 1'h1 ; R/W ;;;;
