 Address ; RegName ; Clk ; Rst ; Port ; Public ; Signal ; BitPos ; Default ; SW(R/W) ; HW(W) ; MCU(W) ; MISC ; Description 
 0x0000 ; BBTXCONF ; pclk ; reset_n ;;;; [31:26] ; 6'h0 ; RO ;;;;
;;;;;; reg_stf_num_add_msb; [25:23] ; 3'b0 ; R/W ;;;;
;;;;;; reg_coef_sel_msb ; [22] ; 1'h0 ; R/W ;;;;
;;;;;; reg_ntx_contin_en ; [21] ; 1'b0 ; R/W ;;;;
;;;;;; reg_txpwr_ht2040_diff ; [20] ; 1'b1 ; R/W ;;;;
;;;;;; reg_txpwr_sys2040_diff ; [19] ; 1'b1 ; R/W ;;;;
;;;;;; reg_stf_num_add; [18:16] ; 3'b0 ; R/W ;;;;
;;;;;; reg_tx_err_rst_val ; [15] ; 1'b1 ; R/W ;;;;
;;;;;; reg_coef_sel ; [14:13] ; 2'h0 ; R/W ;;;;
;;;;;; reg_init_phase ; [12:11] ; 2'h0 ; R/W ;;;;
;;;;;; reg_scrm_dis ; [10] ; 1'b0 ; R/W ;;;;
;;;;;; reg_ntx_window ; [9:8] ; 2'b0 ; R/W ;;;;
;;;;;; reg_seed_load ; [7] ; 1'b0 ; R/W ;;;;
;;;;;; reg_seed ; [6:0] ; 7'b0 ; R/W ;;;;
 0x0004; BBTXANALOG_CTRL1; pclk; reset_n;;;reg_loop_back_en; [31]; 1'h0; R/W;;;;
;;;;;;; [30:28]; 3'h0; RO;;;;
;;;;;; reg_spur_db_cfg; [27:20]; -8'd80; R/W;;;;
;;;;;; reg_rssi_cfg; [19:12]; 8'hb0; R/W;;;;
;;;;;;; [11:2]; 10'h0; RO;;;;
;;;;;; reg_tx_shr; [1:0]; 2'h0; R/W;;;;
 0x0008; BB_HT40_DUG; pclk; reset_n;;;; [31:27]; 5'h0; RO;;;;
;;;;;; reg_spur_en; [26]; 1'b0; R/W ;;;;
;;;;;; reg_spur_freq; [25:16] ; 10'd998 ; R/W ;;;;
;;;;;; reg_packet_num; [15:12] ; 4'h0 ; R/W ;;;;
;;;;;; reg_packet_gain; [11:4] ; 8'd65 ; R/W ;;;; 
;;;;;; reg_packet_rate; [3:0] ; 4'h0 ; R/W ;;;;
 0x000c; BB_HT40_DUG1; pclk; reset_n ;;;; [31:25] ; 7'h0; RO ;;;;
;;;;;; reg_packet_cbw; [24] ; 1'h0 ; R/W ;;;; 
;;;;;; reg_packet_len; [23:8] ; 16'h0 ; R/W ;;;;
;;;;;; reg_packet_idle_time; [7:0] ; 8'h0 ; R/W ;;;;
 0x0010; BB_IQ_MIS_CORR0; pclk; reset_n;;;; [31:27]; 5'h0; RO;;;;
;;;;;; reg_iq_mis_coef1; [26:16] ; 11'h0 ; R/W ;;;; 
;;;;;;; [15:13] ; 3'h0 ; R/W ;;;;  
;;;;;; reg_tx_iqam_x2; [12] ; 1'h0 ; R/W ;;;; 
;;;;;; reg_tx_iq_mis_corr_en; [11] ; 1'h0 ; R/W ;;;; 
;;;;;; reg_iq_mis_coef0; [10:0] ; 11'h0 ; R/W ;;;; 
 0x0014; BB_IQ_MIS_CORR1; pclk; reset_n;;;; [31:27]; 5'h0; RO;;;;
;;;;;; reg_iq_mis_coef3; [26:16] ; 11'h0 ; R/W ;;;; 
;;;;;;; [15:11] ; 5'h0 ; R/W ;;;;  
;;;;;; reg_iq_mis_coef2; [10:0] ; 11'h0 ; R/W ;;;;
 0x0018; BB_IQ_MIS_CORR2; pclk; reset_n;;;; [31:27]; 5'h0; RO;;;;
;;;;;; reg_iq_mis_coef5; [26:16] ; 11'h0 ; R/W ;;;; 
;;;;;;; [15:11] ; 5'h0 ; R/W ;;;;  
