Address;RegName;Clk;Rst;Port;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description;Unnamed: 13
0x0000;MACTXOPTIONS;pclk;reset_n;;reg_bbst_quit_ena;[31];1'h1;R/W;;;;;
;;;;;reg_bbstop_by_bbst;[30];1'h1;R/W;;;;;
;;;;;;[29:4];26'h0;RO;;;;;
;;;;;reg_txht80_force_offset;[3:2];2'h1;R/W;;;;1: pri 0: centen -1: second;
;;;;;reg_txht40_force_offset;[1:0];2'h1;R/W;;;;;
0x0004;MACRATE_CTS_SCCKTAB1;pclk;reset_n;;reg_ratetab_cts_lr7;[31:24];8'b11001;R/W;;;;0x400,0.5  BPSK no vierbit;b1010
;;;;;reg_ratetab_cts_lr6;[23:16];8'b11001;R/W;;;;0.25 BPSK no vierbit;b1001
;;;;;reg_ratetab_cts_lr5;[15:8];8'b10101;R/W;;;;0.5  QPSK vierbit;b0110
;;;;;reg_ratetab_cts_lr4;[7:0];8'b10101;R/W;;;;0.25 QPSK vierbit;b0101
0x0008;MACRATE_CTS_SCCKTAB0;pclk;reset_n;;reg_ratetab_cts_lr3;[31:24];8'b10001;R/W;;;;1ML BPSK viterbit;b0011
;;;;;reg_ratetab_cts_lr2;[23:16];8'b10001;R/W;;;;0.5M BPSK viterbit;b0010
;;;;;reg_ratetab_cts_lr1;[15:8];8'b10001;R/W;;;;0.25M BPSK viterbit;b0001
;;;;;reg_ratetab_cts_lr0;[7:0];8'b10000;R/W;;;;0.125M BPSK viterbit;b0000
0x000C;MACRATE_CTS_CCKTAB1;pclk;reset_n;;reg_ratetab_cts_cck7;[31:24];8'h5;R/W;;;;11MS;
;;;;;reg_ratetab_cts_cck6;[23:16];8'h5;R/W;;;;5.5MS;
;;;;;reg_ratetab_cts_cck5;[15:8];8'h5;R/W;;;;2MS;
;;;;;reg_ratetab_cts_cck4;[7:0];8'h0;R/W;;;;--;
0x0010;MACRATE_CTS_CCKTAB0;pclk;reset_n;;reg_ratetab_cts_cck3;[31:24];8'h1;R/W;;;;11ML;
;;;;;reg_ratetab_cts_cck2;[23:16];8'h1;R/W;;;;5.5ML;
;;;;;reg_ratetab_cts_cck1;[15:8];8'h1;R/W;;;;2ML;
;;;;;reg_ratetab_cts_cck0;[7:0];8'h0;R/W;;;;1ML;
0x0014;MACRATE_CTS_OFDMTAB1;pclk;reset_n;;reg_ratetab_cts_ofdm7;[31:24];8'b1001;R/W;;;;54;
;;;;;reg_ratetab_cts_ofdm6;[23:16];8'b1001;R/W;;;;48;
;;;;;reg_ratetab_cts_ofdm5;[15:8];8'b1001;R/W;;;;36;
;;;;;reg_ratetab_cts_ofdm4;[7:0];8'b1001;R/W;;;;24;
0x0018;MACRATE_CTS_OFDMTAB0;pclk;reset_n;;reg_ratetab_cts_ofdm3;[31:24];8'b1010;R/W;;;;18;
;;;;;reg_ratetab_cts_ofdm2;[23:16];8'b1010;R/W;;;;12;
;;;;;reg_ratetab_cts_ofdm1;[15:8];8'b1011;R/W;;;;9;
