Address;RegName;Clk;Rst;Port;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
0x0000;MACTXIMR2_PLCP1;pclk;reset_n;;reg_tximr2_data_wbd;[31];1'h0;R/W;;;;
;;;;;reg_tximr2_rts_wbd;[30];1'h0;R/W;;;;
;;;;;reg_tximr2_force_bw;[29];1'h0;R/W;;;;
;;;;;reg_tximr2_nonhtdup;[28:27];2'h0;R/W;;;;
;;;;;reg_tximr2_sigmode;[26:25];2'h0;R/W;;;;
;;;;;reg_tximr2_kid;[24:17];8'h0;R/W;;;;
;;;;;reg_tximr2_rate;[16:12];5'h0;R/W;;;;
;;;;;reg_tximr2_length;[11:0];12'h0;R/W;;;;
0x0004;MACTXIMR2_PTI;pclk;reset_n;;reg_tximr2_pti_maintain_cnt;[31:20];12'h0;R/W;;;;
;;;;;reg_tximr2_maintain_pti;[19:16];4'h0;R/W;;;;
;;;;;reg_tximr2_rts_pti;[15:12];4'h0;R/W;;;;
;;;;;reg_tximr2_data_pti;[11:8];4'h0;R/W;;;;
;;;;;reg_tximr2_ack_pti;[7:4];4'h0;R/W;;;;
;;;;;;[3:2];2'h0;RO;;;;
;;;;;reg_tximr2_bssid;[1:0];2'h0;R/W;;;;
0x0008;MACTXIMR2_HTSIG;pclk;reset_n;;reg_tximr2_htsig;[31:0];32'h0;R/W;;;;
0x000C;MACTXIMR2_VHTSIG1;pclk;reset_n;;reg_tximr2_vhtsiga_lo;[31:0];32'h0;R/W;;;;
0x0010;MACTXIMR2_VHTSIG2;pclk;reset_n;;;[31:25];7'h0;RO;;;;
;;;;;reg_tximr2_vhtsigb;[24:2];23'h0;R/W;;;;
;;;;;reg_tximr2_vhtsiga_hi;[1:0];2'h0;R/W;;;;
0x0014;MACTXIMR2_HT80LEN;pclk;reset_n;;;[31:28];4'h0;RO;;;;
;;;;;reg_tximr2_ht80txop_num;[27:24];4'h0;R/W;;;;
;;;;;reg_tximr2_ht80eof_num;[23:22];2'h1;R/W;;;;
;;;;;;[21];1'h0;RO;;;;
;;;;;reg_tximr2_ht80len;[20:0];21'h0;R/W;;;;
0x0018;MACTXIMR2_HT40LEN;pclk;reset_n;;;[31:28];4'h0;RO;;;;
;;;;;reg_tximr2_ht40txop_num;[27:24];4'h0;R/W;;;;
;;;;;reg_tximr2_ht40eof_num;[23:22];2'h1;R/W;;;;
;;;;;;[21:19];3'h0;RO;;;;
;;;;;reg_tximr2_ht40len;[18:0];19'h0;R/W;;;;
0x001C;MACTXIMR2_HT20LEN;pclk;reset_n;;;[30];1'h0;RO;;;;
;;;;;;[29];1'h0;RO;;;;
