adc_data,i_data,q_data
0xde90e850L,-535.00,-379.00,
0xde90e850L,-535.00,-379.00,
0xa330ef00L,-1485.00,-272.00,
0xa330ef00L,-1485.00,-272.00,
0x6c90da60,1737,-602,
0x6c90da60,1737,-602,
0x45e0b090,1118,-1271,
0x45e0b090,1118,-1271,
0x34307bd0,835,1981,
0x48d02190,1165,537,
0x6bc00000,1724,0,
0x6bc00000,1724,0,
0x9ce00000L,-1586.00,0.00,
0x9ce00000L,-1586.00,0.00,
0xd4e00000L,-690.00,0.00,
0xd4e00000L,-690.00,0.00,
0xfff00000L,-1.00,0.00,
0xfff00000L,-1.00,0.00,
0xfff02fd0L,-1.00,765.00,
0xfff0a9e0L,-1.00,-1378.00,
0xfac0d440L,-84.00,-700.00,
0xfac0d440L,-84.00,-700.00,
0xc490e8d0L,-951.00,-371.00,
0xc490e8d0L,-951.00,-371.00,
0x8c40e4a0L,-1852.00,-438.00,
0x8c40e4a0L,-1852.00,-438.00,
0x5ab0c8e0,1451,-882,
0x5ab0c8e0,1451,-882,
0x39c09970,924,-1641,
0x39c09970,924,-1641,
0x2f305fe0,755,1534,
0x8ef00000L,-1809.00,0.00,
0x8ef00000L,-1809.00,0.00,
0xc6a00000L,-918.00,0.00,
0xc6a00000L,-918.00,0.00,
0xfb000000L,-80.00,0.00,
0xfb000000L,-80.00,0.00,
0xfff026a0L,-1.00,618.00,
0xfff09490L,-1.00,-1719.00,
0xfff0cb40L,-1.00,-844.00,
0xfff0cb40L,-1.00,-844.00,
0xdd80ec20L,-552.00,-318.00,
0xdd80ec20L,-552.00,-318.00,
0xa0d0f0c0L,-1523.00,-244.00,
0xa0d0f0c0L,-1523.00,-244.00,
0x6a20da20,1698,-606,
0x3ad08bb0,941,-1861,
0x36e054b0,878,1355,
0x36e054b0,878,1355,
0x49701f70,1175,503,
0x49701f70,1175,503,
0x71700000,1815,0,
0x71700000,1815,0,
0xa9900000L,-1383.00,0.00,
0xa9900000L,-1383.00,0.00,
0xfff03ab0L,-1.00,939.00,
0xfff03ab0L,-1.00,939.00,
0xfff074e0L,-1.00,1870.00,
0xfff074e0L,-1.00,1870.00,
0xfff0ab00L,-1.00,-1360.00,
0xfff0ab00L,-1.00,-1360.00,
0xf720d2e0L,-142.00,-722.00,
0xc260e640L,-986.00,-412.00,
0xc260e640L,-986.00,-412.00,
0x8b40e080L,-1868.00,-504.00,
0x3e3097e0,995,-1666,
0x35706010,855,1537,
0x35706010,855,1537,
0x43d02b40,1085,692,
0x43d02b40,1085,692,
0x65c001f0,1628,31,
0x65c001f0,1628,31,
0x94100000L,-1727.00,0.00,
0xf2400000L,-220.00,0.00,
0xfff016f0L,-1.00,367.00,
0xfff016f0L,-1.00,367.00,
0xfff050f0L,-1.00,1295.00,
0xfff050f0L,-1.00,1295.00,
0xfff09100L,-1.00,-1776.00,
0xfff09100L,-1.00,-1776.00,
0xfff0c740L,-1.00,-908.00,
0xfff0c740L,-1.00,-908.00,
0xddd0e7a0L,-547.00,-390.00,
0xddd0e7a0L,-547.00,-390.00,
0xa1e0ecc0L,-1506.00,-308.00,
0x4b70b0c0,1207,-1268,
0x37c07e20,892,2018,
0x37c07e20,892,2018,
0x39004730,912,1139,
0x39004730,912,1139,
0x51101390,1297,313,
0x51101390,1297,313,
0x7d200000,2002,0,
