#sample iq, sample i, sample q, rx_gain, rx_err, agc_st, adc_data, lna_sat, vga_sat,1
784866,-258,482,0,0,0,0xbf9e2,0,0,0
780770,-262,482,0,0,0,0xbe9e2,0,0,0
779746,-263,482,0,0,0,0xbe5e2,0,0,0
779746,-263,482,0,0,0,0xbe5e2,0,0,0
777698,-265,482,0,0,0,0xbdde2,0,0,0
777698,-265,482,0,0,0,0xbdde2,0,0,0
775650,-267,482,0,0,0,0xbd5e2,0,0,0
772578,-270,482,0,0,0,0xbc9e2,0,0,0
770530,-272,482,0,0,0,0xbc1e2,0,0,0
766434,-276,482,0,0,0,0xbb1e2,0,0,0
763362,-279,482,0,0,0,0xba5e2,0,0,0
763362,-279,482,0,0,0,0xba5e2,0,0,0
761314,-281,482,0,0,0,0xb9de2,0,0,0
758242,-284,482,0,0,0,0xb91e2,0,0,0
756194,-286,482,0,0,0,0xb89e2,0,0,0
754146,-288,482,0,0,0,0xb81e2,0,0,0
754146,-288,482,0,0,0,0xb81e2,0,0,0
753122,-289,482,0,0,0,0xb7de2,0,0,0
753122,-289,482,0,0,0,0xb7de2,0,0,0
753122,-289,482,0,0,0,0xb7de2,0,0,0
749026,-293,482,0,0,0,0xb6de2,0,0,0
745954,-296,482,0,0,0,0xb61e2,0,0,0
739810,-302,482,0,0,0,0xb49e2,0,0,0
736738,-305,482,0,0,0,0xb3de2,0,0,0
736738,-305,482,0,0,0,0xb3de2,0,0,0
736738,-305,482,0,0,0,0xb3de2,0,0,0
736738,-305,482,0,0,0,0xb3de2,0,0,0
732642,-309,482,0,0,0,0xb2de2,0,0,0
731618,-310,482,0,0,0,0xb29e2,0,0,0
726498,-315,482,0,0,0,0xb15e2,0,0,0
722402,-319,482,0,0,0,0xb05e2,0,0,0
720354,-321,482,0,0,0,0xafde2,0,0,0
720354,-321,482,0,0,0,0xafde2,0,0,0
720354,-321,482,0,0,0,0xafde2,0,0,0
719330,-322,482,0,0,0,0xaf9e2,0,0,0
719330,-322,482,0,0,0,0xaf9e2,0,0,0
717282,-324,482,0,0,0,0xaf1e2,0,0,0
713186,-328,482,0,0,0,0xae1e2,0,0,0
710114,-331,482,0,0,0,0xad5e2,0,0,0
710114,-331,482,0,0,0,0xad5e2,0,0,0
708066,-333,482,0,0,0,0xacde2,0,0,0
706018,-335,482,0,0,0,0xac5e2,0,0,0
706018,-335,482,0,0,0,0xac5e2,0,0,0
704994,-336,482,0,0,0,0xac1e2,0,0,0
698850,-342,482,0,0,0,0xaa9e2,0,0,0
697826,-343,482,0,0,0,0xaa5e2,0,0,0
697826,-343,482,0,0,0,0xaa5e2,0,0,0
693730,-347,482,0,0,0,0xa95e2,0,0,0
693730,-347,482,0,0,0,0xa95e2,0,0,0
692706,-348,482,0,0,0,0xa91e2,0,0,0
692706,-348,482,0,0,0,0xa91e2,0,0,0
690658,-350,482,0,0,0,0xa89e2,0,0,0
688610,-352,482,0,0,0,0xa81e2,0,0,0
688610,-352,482,0,0,0,0xa81e2,0,0,0
686562,-354,482,0,0,0,0xa79e2,0,0,0
683490,-357,482,0,0,0,0xa6de2,0,0,0
678370,-362,482,0,0,0,0xa59e2,0,0,0
