adc_data,i_data,q_data
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0x5090fff0,1289,4095,
0x5140fff0,1300,4095,
0x5140fff0,1300,4095,
0x3270fff0,807,4095,
0x3270fff0,807,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0x550fff0,85,4095,
0x550fff0,85,4095,
0x2fd0fff0,765,4095,
0x2fd0fff0,765,4095,
0x1560fff0,342,4095,
0x1560fff0,342,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0x360fff0,54,4095,
0x360fff0,54,4095,
0x2870fff0,647,4095,
0x2870fff0,647,4095,
0x3fe0fff0,1022,4095,
0x3fe0fff0,1022,4095,
0x3d50fff0,981,4095,
0x3d50fff0,981,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0x2af0fff0,687,4095,
0x4b70fff0,1207,4095,
0x4b70fff0,1207,4095,
0x51b0fff0,1307,4095,
0x51b0fff0,1307,4095,
0x3950fff0,917,4095,
0x3950fff0,917,4095,
0x790fff0,121,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0x43f0fff0,1087,4095,
0x43f0fff0,1087,4095,
0x1ad0fff0,429,4095,
0x1ad0fff0,429,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0x1210fff0,289,4095,
0x1210fff0,289,4095,
0x3be0fff0,958,4095,
0x3be0fff0,958,4095,
0x55d0fff0,1373,4095,
0x55d0fff0,1373,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0x2af0fff0,687,4095,
0x2af0fff0,687,4095,
0x4de0fff0,1246,4095,
0x4de0fff0,1246,4095,
0x58e0fff0,1422,4095,
0x58e0fff0,1422,4095,
0x44f0fff0,1103,4095,
0x44f0fff0,1103,4095,
0x15f0fff0,351,4095,
0x15f0fff0,351,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0x1ca0fff0,458,4095,
0x1ca0fff0,458,4095,
0x2ff0fff0,767,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0x630fff0,99,4095,
0x630fff0,99,4095,
0x2f50fff0,757,4095,
0x2f50fff0,757,4095,
0x1920fff0,402,4095,
0x1920fff0,402,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0x23b0fff0,571,4095,
0x23b0fff0,571,4095,
0x4bc0fff0,1212,4095,
0x4bc0fff0,1212,4095,
0x5e30fff0,1507,4095,
0x50d0fff0,1293,4095,
0x50d0fff0,1293,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0x3fb0fff0,1019,4095,
0x3fb0fff0,1019,4095,
0x5b30fff0,1459,4095,
0x5b30fff0,1459,4095,
0x5810fff0,1409,4095,
0x5810fff0,1409,4095,
0x35c0fff0,860,4095,
0x35c0fff0,860,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xeb0fff0,235,4095,
0xeb0fff0,235,4095,
0x4240fff0,1060,4095,
0x12f0fff0,303,4095,
0x12f0fff0,303,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0x27b0fff0,635,4095,
0x27b0fff0,635,4095,
0x5140fff0,1300,4095,
0x5140fff0,1300,4095,
0x6430fff0,1603,4095,
0x6430fff0,1603,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0x54f0fff0,1359,4095,
0x5490fff0,1353,4095,
0x5490fff0,1353,4095,
0x3520fff0,850,4095,
0x3520fff0,850,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0x5a70fff0,1447,4095,
0x5a70fff0,1447,4095,
0x4970fff0,1175,4095,
0x4970fff0,1175,4095,
0x1bd0fff0,445,4095,
0x1bd0fff0,445,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0x1e70fff0,487,4095,
0x4790fff0,1145,4095,
0x4790fff0,1145,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xce0fff0,206,4095,
0xce0fff0,206,4095,
0x3750fff0,885,4095,
0x3750fff0,885,4095,
0x54f0fff0,1359,4095,
0x54f0fff0,1359,4095,
0x57b0fff0,1403,4095,
0x57b0fff0,1403,4095,
0x3af0fff0,943,4095,
0x3af0fff0,943,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0x4600fff0,1120,4095,
0x5850fff0,1413,4095,
0x5850fff0,1413,4095,
0x4c00fff0,1216,4095,
0x4c00fff0,1216,4095,
0x22f0fff0,559,4095,
0x22f0fff0,559,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0x11f0fff0,287,4095,
0x11f0fff0,287,4095,
0x32f0fff0,815,4095,
0x32f0fff0,815,4095,
0x10fff0,1,4095,
0x10fff0,1,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0x2570fff0,599,4095,
0x2570fff0,599,4095,
0x4830fff0,1155,4095,
0x4830fff0,1155,4095,
0x52a0fff0,1322,4095,
0x52a0fff0,1322,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0x1a70fff0,423,4095,
0x1a70fff0,423,4095,
0x4570fff0,1111,4095,
0x4570fff0,1111,4095,
0x5d00fff0,1488,4095,
0x5d00fff0,1488,4095,
0x5650fff0,1381,4095,
0x5650fff0,1381,4095,
0x30f0fff0,783,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0x5e30fff0,1507,4095,
0x5e30fff0,1507,4095,
0x42f0fff0,1071,4095,
0x42f0fff0,1071,4095,
0xdd0fff0,221,4095,
0xdd0fff0,221,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0x2270fff0,551,4095,
0x2270fff0,551,4095,
0x4710fff0,1137,4095,
0x4710fff0,1137,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xfff0,0,4095,
